Instruction,Input,Output,materi,question_id,Template,correct_answer
Test if a given number is a Prime or not using Python.,number = 32,"if number<=1: 
  print(""Number is not a prime number."") 
for i in range(2,int(number**0.5)+1):
  if(number % i == 0):
    print(""Number is not a prime number."")
    break
else: 
  print(""Number is a prime number."")",Control Structure,596,"if ___<=1: 
  print(""Number is not a prime number."") 
for i in range(2,int(number**0.5)+1):
  if(number % i == 0):
    print(""Number is not a prime number."")
    break
else: 
  print(""Number is a prime number."")",number
Create a function in Python to compare two strings and return true if the strings only differ by one character.,"s1 = 'apple'
s2 = 'acple'","def compare_strings(s1, s2):
    mismatch_count = 0

    for i in range(len(s1)):
        if s1[i] != s2[i]:
            if mismatch_count > 0:
                return False

            mismatch_count += 1

    return mismatch_count == 1

compare_strings('apple', 'acple')",Control Structure,604,"def compare_strings(s1, s2):
    mismatch_count = 0

    for ___ in range(len(s1)):
        if s1[i] != s2[i]:
            if mismatch_count > 0:
                return False

            mismatch_count += 1

    return mismatch_count == 1

compare_strings('apple', 'acple')",i
Write a Python program to calculate the average monthly temperature of a given city for the last 10 years.,"City: Los Angeles, California
10 year average temperature from 2010 to 2020","import csv

def avg_month_temp(city):
 result = 0
 counter = 0
 temperatures = csv.reader(open('weatherdata.csv'))
 for row in temperatures:
 if row[1] == city:
 result += float(row[2])
 counter += 1
 return result/counter",Control Structure,623,"import csv

def avg_month_temp(city):
 result = 0
 counter = 0
 temperatures = csv.reader(open('weatherdata.csv'))
 for ___ in temperatures:
 if row[1] == city:
 result += float(row[2])
 counter += 1
 return result/counter",row
Create a Python procedure to determine if two numbers are divisible.,14 and 7,"def divisible(x, y):
    if x % y == 0:
        return True
    else:
        return False",Control Structure,634,"def divisible(x, y):
    if ___ % y == 0:
        return True
    else:
        return False",x
Create a for loop in Python that prints the output of a multiplication table for numbers from 1 to 10.,-,"for i in range(1, 11):
  for j in range(1, 11):
    print(i * j, end='\t')
  print()",Control Structure,644,"for ___ in range(1, 11):
  for j in range(1, 11):
    print(i * j, end='\t')
  print()",i
Develop a Python script for checking for palindromes.,<none>,"def is_palindrome(word):
  rev_word = word[::-1]
  if word == rev_word:
    return True
  return False",Control Structure,647,"def is_palindrome(word):
  rev_word = word[::-1]
  if ___ == rev_word:
    return True
  return False",word
Design an algorithm to check if a given number is prime in Python.,n = 19,"def is_prime(n):
    """"""Check if a given number is prime.""""""
    # Corner case
    if n <= 1:
        return False

    # Check for divisibility
    for i in range(2, n):
        if n % i == 0:
            return False
    # Return true if it is not divisible by any number
    return True

# Output
print(is_prime(n))",Control Structure,760,"def is_prime(n):
    """"""Check if ___ given number is prime.""""""
    # Corner case
    if n <= 1:
        return False

    # Check for divisibility
    for i in range(2, n):
        if n % i == 0:
            return False
    # Return true if it is not divisible by any number
    return True

# Output
print(is_prime(n))",a
Design a function to tell if a number is even or odd using Python.,x = 5,"def isEven(x):
    if x % 2 == 0:
        return True
    else:
        return False

x = 5

if isEven(x):
    print(""It is even"")
else:
    print(""It is odd"")",Control Structure,778,"def isEven(x):
    if ___ % 2 == 0:
        return True
    else:
        return False

x = 5

if isEven(x):
    print(""It is even"")
else:
    print(""It is odd"")",x
Suggest a completion for the following Python code to check if a given number is an Armstrong number.,def is_armstrong_number(num):,"def is_armstrong_number(num):
  order = len(str(num))
  sum = 0
  temp = num
  while temp > 0:
    digit = temp % 10
    sum += digit ** order
    temp //= 10
  if num == sum:
    return True  
  else:
    return False",Control Structure,804,"def is_armstrong_number(num):
  order = len(str(num))
  sum = 0
  temp = num
  while ___ > 0:
    digit = temp % 10
    sum += digit ** order
    temp //= 10
  if num == sum:
    return True  
  else:
    return False",temp
Write a conditional statement in Python that checks if two lists have the same items.,"list1 = [9,8,7]
list2 = [7,8,9]","list1 = [9,8,7]
list2 = [7,8,9]

if list1 == list2:
    print(""The lists have the same items."")
else:
    print(""The lists do not have the same items."")",Control Structure,818,"list1 = [9,8,7]
list2 = [7,8,9]

if ___ == list2:
    print(""The lists have the same items."")
else:
    print(""The lists do not have the same items."")",list1
Create a function in Python that takes two strings and checks if they are anagrams of each other.,"""apple"", ""pleap""","def is_anagram(str1, str2): 
    if len(str1)!= len(str2): 
        return False
    first_list = list(str1.lower())
    second_list = list(str2.lower())
    first_list.sort()
    second_list.sort()
    return first_list == second_list

print(is_anagram(""apple"",""pleap""))",Control Structure,841,"def is_anagram(str1, str2): 
    if ___(str1)!= len(str2): 
        return False
    first_list = list(str1.lower())
    second_list = list(str2.lower())
    first_list.sort()
    second_list.sort()
    return first_list == second_list

print(is_anagram(""apple"",""pleap""))",len
Construct a Python program that will search for a given word in a web page and return the number of occurrences.,"word=""Python""
url=""www.example.com""","import requests

url = ""www.example.com""
word = ""Python""

html_content = requests.get(url).text

words = html_content.split()

occurrences = 0

for w in words:
    if w == word:
        occurrences += 1

print(""Found %d occurrences of '%s'"" % (occurrences, word))",Control Structure,844,"import requests

url = ""www.example.com""
word = ""Python""

html_content = requests.get(url).text

words = html_content.split()

occurrences = 0

for ___ in words:
    if w == word:
        occurrences += 1

print(""Found %d occurrences of '%s'"" % (occurrences, word))",w
Develop a Python Webscraper for collecting data from a given URL.,Example URL: http://example.com/data,"import requests
from bs4 import BeautifulSoup

URL = 'http://example.com/data'

# Send a request to the URL
page = requests.get(URL)

# Parse the page
soup = BeautifulSoup(page.content, 'html.parser')

# Get the data
data = soup.find_all('div', class_='data')

# Print the data
for item in data:
 print(item.text)",Control Structure,884,"import requests
from bs4 import BeautifulSoup

URL = 'http://example.com/data'

# Send a request to the URL
page = requests.get(URL)

# Parse the page
soup = BeautifulSoup(page.content, 'html.parser')

# Get the data
data = soup.find_all('div', class_='data')

# Print the data
for ___ in data:
 print(item.text)",item
"Convert the following Algorithm into Python code.

Input: two numbers

Algorithm:
1. Check if the two numbers are equal.
2. If true, return 0.
3. Else check the which is higher.
4. Return 1 if the first number is higher than the second one.
5. Return -1 otherwise.","num1 : 5
num2 : 10","def compare_numbers(num1, num2):
 if num1 == num2:
  return 0
 elif num1 > num2:
  return 1
 else:
  return -1

num1 = 5
num2 = 10
result = compare_numbers(num1, num2)

print(result)",Control Structure,891,"def compare_numbers(num1, num2):
 if ___ == num2:
  return 0
 elif num1 > num2:
  return 1
 else:
  return -1

num1 = 5
num2 = 10
result = compare_numbers(num1, num2)

print(result)",num1
Create a Python function that takes in two strings and returns True if they are anagrams (they contain the same letters).,"string1 = ""pizza""
string2 = ""appaiz""","def isAnagram(string1, string2):
 s1 = sorted(string1.lower())
 s2 = sorted(string2.lower())

 if s1 == s2:
 return True
 else:
 return False

string1 = ""pizza"";
string2 = ""appaiz"";

isAnagram(string1, string2); // True",Control Structure,906,"def isAnagram(string1, string2):
 s1 = sorted(string1.lower())
 s2 = sorted(string2.lower())

 if ___ == s2:
 return True
 else:
 return False

string1 = ""pizza"";
string2 = ""appaiz"";

isAnagram(string1, string2); // True",s1
Write a function in Python to predict a label for a given input.,"[5, -2, 4]","def predict(x):
    if x[0] > 0:
        return 'positive'
    if x[1] < 0:
        return 'negative'
    if x[2] > 0:
        return 'positive'
    return 'neutral'",Control Structure,948,"def predict(x):
    if ___[0] > 0:
        return 'positive'
    if x[1] < 0:
        return 'negative'
    if x[2] > 0:
        return 'positive'
    return 'neutral'",x
Create a Python program to check if a given date is valid or not.,"The date to be checked is ""2019/02/29"".","from datetime import datetime
 
date_string = '2019/02/29'
try:
 date = datetime.strptime(date_string, '%Y/%m/%d')
 
 if date.year % 4 == 0 and date.month == 2 and date.day == 29:
 print('Valid Date')
 else:
 print('Invalid Date')
except ValueError:
 print('Invalid Date')",Control Structure,1009,"from datetime import datetime
 
date_string = '2019/02/29'
try:
 date = datetime.strptime(date_string, '%Y/%m/%d')
 
 if ___.year % 4 == 0 and date.month == 2 and date.day == 29:
 print('Valid Date')
 else:
 print('Invalid Date')
except ValueError:
 print('Invalid Date')",date
Consider the following statement and write a code for it in Python,A list of integers of length 5 is given. Calculate its sum and average.,"my_list = [1,2,3,4,5]
total_sum = 0

for x in my_list:
    total_sum = total_sum + x 
  
average = total_sum / len(my_list)

print(""Sum of all elements in given list: "" + str(total_sum))
print(""Average of all elements in given list: "" + str(average))",Control Structure,1012,"my_list = [1,2,3,4,5]
total_sum = 0

for ___ in my_list:
    total_sum = total_sum + x 
  
average = total_sum / len(my_list)

print(""Sum of all elements in given list: "" + str(total_sum))
print(""Average of all elements in given list: "" + str(average))",x
Optimize the following Python code for faster runtime performance,"for i in range(5):
    print(""Hello"")","for i in range(5):
    print(""Hello"", end=""\n"")",Control Structure,1131,"for ___ in range(5):
    print(""Hello"", end=""\n"")",i
"Write a code for sorting the words within a sentence, alphabetically.",Python is a great language,"""""""
Write a code for sorting the words within a sentence, alphabetically.
""""""

def sort_words_alphabetically(sentence):
    words = sentence.split()
    words.sort()
    return ' '.join(words)

if __name__ == '__main__':
    sentence = 'Python is a great language'
    print(sort_words_alphabetically(sentence))",Control Structure,1140,"""""""
Write a code for ___ the words within a sentence, alphabetically.
""""""

def sort_words_alphabetically(sentence):
    words = sentence.split()
    words.sort()
    return ' '.join(words)

if __name__ == '__main__':
    sentence = 'Python is a great language'
    print(sort_words_alphabetically(sentence))",sorting
Trace the recursive Fibonacci algorithm in Python and test its execution time for different values of n.,num = 10,"import time 

def fib(n): 
 if n<0: 
  print(""Incorrect input"") 
 elif n==1: 
  return 0
 elif n==2: 
  return 1
 else: 
  return fib(n-1)+fib(n-2) 

start = time.time() 

num = 10 
print(fib(num))

print(""Time taken:"", time.time()-start)",Control Structure,1157,"import time 

def fib(n): 
 if ___<0: 
  print(""Incorrect input"") 
 elif n==1: 
  return 0
 elif n==2: 
  return 1
 else: 
  return fib(n-1)+fib(n-2) 

start = time.time() 

num = 10 
print(fib(num))

print(""Time taken:"", time.time()-start)",n
Author a Python program to check if a number is a palindrome.,1991,"def isPalindrome(num):
  numStr = str(num)
  for i in range(0, len(numStr)//2):
    if numStr[i] != numStr[len(numStr)-i-1]:
      return False
  return True

print(isPalindrome(1991)) # Output: True",Control Structure,1172,"def isPalindrome(num):
  numStr = str(num)
  for ___ in range(0, len(numStr)//2):
    if numStr[i] != numStr[len(numStr)-i-1]:
      return False
  return True

print(isPalindrome(1991)) # Output: True",i
Write a Python script to extract all the values for a given key from a dictionary.,"dictionary = {
    'key1': 'val1',
    'key2': 'val2',
    'key3': 'val3',
    'key4': 'val4',
}","def get_key_values(dictionary, key):
    return [value for key, value in dictionary.items() if key == key]",Control Structure,1190,"def get_key_values(dictionary, key):
    return [value for ___, value in dictionary.items() if key == key]",key
Create a Python function for computing the Fibonacci sequence up to the nth number.,Number n: 10,"def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a

print(fibonacci(10)) # outputs 55",Control Structure,1228,"def fibonacci(n):
    a, b = 0, 1
    for ___ in range(n):
        a, b = b, a + b
    return a

print(fibonacci(10)) # outputs 55",_
Generate a code to optimize the following program for better performance in Python.,"random_list = []
for i in range(0, 10):
    random_list.append(random.randint(0, 10))

unique_list = []
for i in random_list:
    if i not in unique_list:
        unique_list.append(i)","import random

random_list = [random.randint(0, 10) for _ in range(10)]
unique_list = list(set(random_list))",Control Structure,1298,"import random

random_list = [random.randint(0, 10) for ___ in range(10)]
unique_list = list(set(random_list))",_
Write a Python program to compare two unordered lists to see if they are equal.,"list1 = [3, 4, 5]
list2 = [4, 5, 3]","def compare_lists(list1, list2):
    if len(list1) != len(list2):
        return False
    if sorted(list1) == sorted(list2):
        return True
    return False",Control Structure,1309,"def compare_lists(list1, list2):
    if ___(list1) != len(list2):
        return False
    if sorted(list1) == sorted(list2):
        return True
    return False",len
Write a python program for binary search,"[2, 5, 7, 9, 11, 15]","def binarySearch(arr, target):
    left = 0
    right = len(arr) - 1

    while left <= right:
        mid = (left + right) // 2

        if arr[mid] == target:
            return mid
        elif arr[mid] > target:
            right = mid - 1
        else:
            left = mid + 1
    return -1",Control Structure,1322,"def binarySearch(arr, target):
    left = 0
    right = len(arr) - 1

    while ___ <= right:
        mid = (left + right) // 2

        if arr[mid] == target:
            return mid
        elif arr[mid] > target:
            right = mid - 1
        else:
            left = mid + 1
    return -1",left
Create a Python code to display the multiplication table for a number between,Number: 4,"for i in range(1, 11):
    print(""4 x"", i, ""="", 4*i)",Control Structure,1324,"for ___ in range(1, 11):
    print(""4 x"", i, ""="", 4*i)",i
Create a Python program to check if a triangle is valid or not with the given values for its three sides.,"a = 2
b = 2
c = 3","def is_valid_triangle(a, b, c): 
  
    # triangle should have 3 sides 
    if a + b <= c or a + c <= b or b + c <= a: 
        return False
  
    # sum of any two side should always be greater than third side 
    if a + b > c and a + c > b and b + c > a: 
        return True
    return False

is_valid_triangle(2, 2, 3)",Control Structure,1341,"def is_valid_triangle(a, b, c): 
  
    # triangle should have 3 sides 
    if ___ + b <= c or a + c <= b or b + c <= a: 
        return False
  
    # sum of any two side should always be greater than third side 
    if a + b > c and a + c > b and b + c > a: 
        return True
    return False

is_valid_triangle(2, 2, 3)",a
Write a Python function for calculating factorials.,4,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)

number = 4
result = factorial(number)
print(result)",Control Structure,1353,"def factorial(n):
    if ___ == 0:
        return 1
    else:
        return n * factorial(n-1)

number = 4
result = factorial(number)
print(result)",n
Design a Python program for implementing a stack with the following methods.,"pop(), push(x), and is_empty().","class Stack:
    def __init__(self):
        self.items = []

    def push(self, x): 
        self.items.append(x) 

    def pop(self): 
        if not self.is_empty():
            return self.items.pop()
        else:
            return None
        
    def is_empty(self): 
        return len(self.items) == 0",Control Structure,1397,"class Stack:
    def __init__(self):
        self.items = []

    def push(self, x): 
        self.items.append(x) 

    def pop(self): 
        if ___ self.is_empty():
            return self.items.pop()
        else:
            return None
        
    def is_empty(self): 
        return len(self.items) == 0",not
Compose a python program that can search a text document for a given word.,"text_file=""text.txt""
query_word=""apple""","def search_for_word(text_file, query_word):
    words = []

    with open(text_file, ""r"") as file:
        for line in file:
            words.extend(line.split())

    if query_word in words:
        return True
    else:
        return False",Control Structure,1401,"def search_for_word(text_file, query_word):
    words = []

    with open(text_file, ""r"") as file:
        for ___ in file:
            words.extend(line.split())

    if query_word in words:
        return True
    else:
        return False",line
can you provide a python for loop that prints out the product of two lists?,"list1 = [1, 2, 3]
list2 = [4, 5, 6]","list1 = [1, 2, 3]
list2 = [4, 5, 6]

for i in range(len(list1)):
    product = list1[i] * list2[i]
    print(product)",Control Structure,1447,"list1 = [1, 2, 3]
list2 = [4, 5, 6]

for ___ in range(len(list1)):
    product = list1[i] * list2[i]
    print(product)",i
Generate a Python program that searches for a given key in a dictionary.,key: 'name',"my_dict = {
 'name': 'John',
 'age': 26,
 'salary': 5000
}

find_key = 'name'

if find_key in my_dict:
 print(my_dict[find_key])",Control Structure,1477,"my_dict = {
 'name': 'John',
 'age': 26,
 'salary': 5000
}

find_key = 'name'

if ___ in my_dict:
 print(my_dict[find_key])",find_key
Can you generate a greedy algorithm in Python for solving the coin change problem?,"Coins = [1, 6, 10], Change = 8","def get_coins(coins, change):
	min_coins = change
	if change in coins:
		return [change]

	for i in [c for c in coins if c <= change]:
		num_coins = 1 + get_coins(coins, change-i)
		if len(num_coins) < min_coins:
			min_coins = num_coins
	return min_coins

# Test 
coins = [1, 6, 10]
change = 8
print(get_coins(coins, change)) # [1, 6, 1]",Control Structure,1548,"def get_coins(coins, change):
	min_coins = change
	if ___ in coins:
		return [change]

	for i in [c for c in coins if c <= change]:
		num_coins = 1 + get_coins(coins, change-i)
		if len(num_coins) < min_coins:
			min_coins = num_coins
	return min_coins

# Test 
coins = [1, 6, 10]
change = 8
print(get_coins(coins, change)) # [1, 6, 1]",change
Create a script in Python for classifying the sentiment of a text. The script should be able to handle input of various lengths and should return a sentiment score (on a scale from -1 to +1) for the text.,positive,"import nltk

def sentiment_analysis(text):
 tokens = nltk.word_tokenize(text)
 score = 0
 for token in tokens:
 tag = nltk.pos_tag(token)[0]
 if tag[1] == 'positive':
 score += 1
 else:
 score -= 1
 return score / len(tokens)",Control Structure,1552,"import nltk

def sentiment_analysis(text):
 tokens = nltk.word_tokenize(text)
 score = 0
 for ___ in tokens:
 tag = nltk.pos_tag(token)[0]
 if tag[1] == 'positive':
 score += 1
 else:
 score -= 1
 return score / len(tokens)",token
