Instruction,Input,Output,materi,question_id,Template,correct_answer
Create a python script to print the following output with the help of list and dictionary.,"{
    ""Name"": ""Harry"",
    ""Age"": 23,
    ""Country"": ""India""
}","name = {
    ""Harry""
}
age = {
    23
}
country = {
    ""India""
}

data_list = [name, age, country]

for item in data_list:
    print(item)",Introduction Python,859,"name = {
    ""Harry""
}
age = {
    23
}
country = {
    ""India""
}

data_list = [name, age, country]

for item in data_list:
    print(___)",item
Create a script in Python to print the squares of all numbers in the given list.,"[1, 2, 3, 4, 5]","for n in [1, 2, 3, 4, 5]:
 print(n**2)",Introduction Python,877,"for n in [1, 2, 3, 4, 5]:
 print(___)",n**2
Write a Python program to print a calendar of the given month and year,"month = 11
year = 2020","import calendar

c = calendar.TextCalendar(calendar.SUNDAY)
str = c.formatmonth(year, month)
print(str)",Introduction Python,894,"import calendar

c = calendar.TextCalendar(calendar.SUNDAY)
str = c.formatmonth(year, month)
print(___)",str
Develop a Python code to print the pairs of the numbers in the given list which adds up to the given target number.,"[1, 5, 9, 4], 10","def pairs_adding_to_target(nums, target): 
 
	result = [] 
	for i in range(0, len(nums)): 
		for j in range(i+1, len(nums))	: 
			if nums[i] + nums[j] == target:	 
				result.append([nums[i], nums[j]]) 
	return result 

result = pairs_adding_to_target([1, 5, 9, 4], 10)
print(result)",Introduction Python,950,"def pairs_adding_to_target(nums, target): 
 
	result = [] 
	for i in range(0, len(nums)): 
		for j in range(i+1, len(nums))	: 
			if nums[i] + nums[j] == target:	 
				result.append([nums[i], nums[j]]) 
	return result 

result = pairs_adding_to_target([1, 5, 9, 4], 10)
print(___)",result
Add code in python to the given argument to iterate over a list of numbers and print the even numbers.,"[1,2,3,4,5]","# Iterate over numbers
for num in [1,2,3,4,5]:
  # Check for even
  if(num % 2 == 0):
    # Print the even numbers
    print(num)",Introduction Python,1067,"# Iterate over numbers
for num in [1,2,3,4,5]:
  # Check for even
  if(num % 2 == 0):
    # Print the even numbers
    print(___)",num
Write a Python function to print prime numbers between two given numbers.,"low = 5, high = 10","def print_prime_numbers_between_two_numbers(low, high): 
    for numb in range(low,high + 1): 
        if numb > 1: 
            for i in range(2,numb): 
                if (numb % i) == 0: 
                    break
            else: 
                print(numb) 

#calling the function
print_prime_numbers_between_two_numbers(5, 10)",Introduction Python,1077,"def print_prime_numbers_between_two_numbers(low, high): 
    for numb in range(low,high + 1): 
        if numb > 1: 
            for i in range(2,numb): 
                if (numb % i) == 0: 
                    break
            else: 
                print(___) 

#calling the function
print_prime_numbers_between_two_numbers(5, 10)",numb
Create a Python program to print out the prime numbers between the given input range.,"min = 1
max = 10","def print_primes(min, max):
  for num in range(min, max+1):
    if num > 1:
      for i in range(2, num):
        if (num % i) == 0:
          break
      else:
        print(num)
  
# Driver Code
min = 1
max = 10

print_primes(min, max)

# Output:
# 2
# 3
# 5
# 7",Introduction Python,1088,"def print_primes(min, max):
  for num in range(min, max+1):
    if num > 1:
      for i in range(2, num):
        if (num % i) == 0:
          break
      else:
        print(___)
  
# Driver Code
min = 1
max = 10

print_primes(min, max)

# Output:
# 2
# 3
# 5
# 7",num
Construct a for loop in Python to print the characters in a string.,"""Hello World""","for char in ""Hello World"":
    print(char)",Introduction Python,1133,"for char in ""Hello World"":
    print(___)",char
Write a python program to print the elements in a list which are not repeated more than once.,"[1, 2, 3, 2, 4, 2, 3]","result = []
for ele in list:
    if list.count(ele) == 1:
        result.append(ele)
print(result) # Output: [1, 4]",Introduction Python,1151,"result = []
for ele in list:
    if list.count(ele) == 1:
        result.append(ele)
print(___) # Output: [1, 4]",result
Create a for loop statement in Python to iterate over a list and print the each item in the list.,"[1,2,3,4,5]","for i in [1,2,3,4,5]:
    print(i)",Introduction Python,1181,"for i in [1,2,3,4,5]:
    print(___)",i
Create a for loop in python to print all the items in the given list.,"List = [1, 2, 3, 4]","for item in List:
    print(item)",Introduction Python,1364,"for item in List:
    print(___)",item
Create a Python program to parse a CSV string and print each row in a readable format.,"CSVString = ""John Doe, 22, ABC Street, 07777\nMary Smith, 26, XYZ Street, 02222""","import csv 
  
csvString = ""John Doe, 22, ABC Street, 07777\nMary Smith, 26, XYZ Street, 02222""
  
# Convert CSV String to List
csvList = csvString.split('\n')
  
# Print each Row of CSV 
for row in csvList: 
    print(row)",Introduction Python,1394,"import csv 
  
csvString = ""John Doe, 22, ABC Street, 07777\nMary Smith, 26, XYZ Street, 02222""
  
# Convert CSV String to List
csvList = csvString.split('\n')
  
# Print each Row of CSV 
for row in csvList: 
    print(___)",row
Generate Python code to print the first ‘n’ elements of the Fibonacci series.,7,"def print_fibonacci_series(n):
    a, b = 0, 1
    for i in range(n):
        print(a)
        a, b = b, a + b

print_fibonacci_series(7)",Introduction Python,1463,"def print_fibonacci_series(n):
    a, b = 0, 1
    for i in range(n):
        print(___)
        a, b = b, a + b

print_fibonacci_series(7)",a
"Given a list of strings, write a Python code snippet to print all strings that begin with a letter 'a'.","[""apple"", ""banana"", ""orange"", ""avocado""]","for item in [""apple"", ""banana"", ""orange"", ""avocado""]:
 if item.startswith('a'):
 print(item)

# Output:
apple
avocado",Introduction Python,1570,"for item in [""apple"", ""banana"", ""orange"", ""avocado""]:
 if item.startswith('a'):
 print(___)

# Output:
apple
avocado",item
Write a Python program to print the count of all even numbers in the given list.,"my_list = [1, 2, 3, 4, 5, 6, 7, 8]","my_list = [1, 2, 3, 4, 5, 6, 7, 8]

count = 0
for i in my_list:
    if i % 2 == 0:
        count += 1

print(count)",Introduction Python,1619,"my_list = [1, 2, 3, 4, 5, 6, 7, 8]

count = 0
for i in my_list:
    if i % 2 == 0:
        count += 1

print(___)",count
"Create a python program to accept two inputs from the user, a number and a string, and print the string the given number of times.","3, Hello","num = int(input(""Enter a number: ""))
string = input(""Enter a string: "")

for i in range(num):
 print(string)",Introduction Python,1673,"num = int(input(""Enter a number: ""))
string = input(""Enter a string: "")

for i in range(num):
 print(___)",string
Modify the provided Python program to print out the numbers from 1 to 10,"for i in range(11):
    print(i)","for i in range(1, 11):
    print(i)",Introduction Python,1712,"for i in range(1, 11):
    print(___)",i
Generate a Python function to print a pattern of stars,n = 5,"def starPattern(n):
    # outer loop to handle number of rows
    for i in range(0, n):
        # inner loop to handle number of columns
        for j in range(0, i + 1):
            # printing stars
            print(""* "", end="""")
        # ending line after each row
        print(""\r"")

# Driver code
n = 5
starPattern(n)",Introduction Python,1725,"def starPattern(n):
    # outer loop to handle number of rows
    for i in range(0, n):
        # inner loop to handle number of columns
        for j in range(0, i + 1):
            # printing stars
            print(""* "", end="""")
        # ending line after each row
        print(___)

# Driver code
n = 5
starPattern(n)","""\r"""
Create a basic Python script that converts all strings in a given dictionary to uppercase.,"{""name"": ""John"", ""age"": 45, ""location"": ""San Francisco""}","d = {""name"": ""John"", ""age"": 45, ""location"": ""San Francisco""}
for key in d:
 d[key] = str(d[key]).upper()

print(d)
# Output: {""name"": ""JOHN"", ""age"": 45, ""location"": ""SAN FRANCISCO""}",Introduction Python,1746,"d = {""name"": ""John"", ""age"": 45, ""location"": ""San Francisco""}
for key in d:
 d[key] = str(d[key]).upper()

print(___)
# Output: {""name"": ""JOHN"", ""age"": 45, ""location"": ""SAN FRANCISCO""}",d
"Make a program in Python to print a staircase of height 'n', where n is an integer.",5,"def staircase(n): 
    for i in range(0, n): 
        for j in range(0, n - i - 1): 
            print(end="" "") 
        for j in range(0, i + 1): 
            print(""#"", end="""") 
        print(""\r"") 
  
# Driver code 
n = 5
staircase(n)",Introduction Python,1810,"def staircase(n): 
    for i in range(0, n): 
        for j in range(0, n - i - 1): 
            print(end="" "") 
        for j in range(0, i + 1): 
            print(""#"", end="""") 
        print(___) 
  
# Driver code 
n = 5
staircase(n)","""\r"""
Create a for-loop in Python to iterate over a list and print each element.,"words = [""these"", ""are"", ""some"", ""words""]","words = [""these"", ""are"", ""some"", ""words""]
for word in words:
  print(word)",Introduction Python,1836,"words = [""these"", ""are"", ""some"", ""words""]
for word in words:
  print(___)",word
Use Python to calculate and print the sum of values in an array.,"[1,2,3,4,5]","arr = [1,2,3,4,5] 
sum = 0
for i in arr: 
    sum+=i 
    print(sum)

# Output 
# 15",Introduction Python,1864,"arr = [1,2,3,4,5] 
sum = 0
for i in arr: 
    sum+=i 
    print(___)

# Output 
# 15",sum
Create a function in Python to print all the prime numbers in an array.,"array = [2, 4, 6, 7, 11, 15]","def print_primes(arr):
    for i in arr:
        if i > 1:
            for j in range(2,i):
                if (i % j) == 0:
                    break
            else:
                print(i)

print_primes(array)",Introduction Python,1913,"def print_primes(arr):
    for i in arr:
        if i > 1:
            for j in range(2,i):
                if (i % j) == 0:
                    break
            else:
                print(___)

print_primes(array)",i
Write a function in Python to print every other element in a list.,"[1, 2, 3, 4, 5]","def print_every_other(lst):
 for i in range(0, len(lst), 2):
 print(lst[i])",Introduction Python,1986,"def print_every_other(lst):
 for i in range(0, len(lst), 2):
 print(___)",lst[i]
Generate a Python program to iterate over a list of numbers and print out only the even numbers.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","for num in [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]:
 if num % 2 == 0:
 print(num)",Introduction Python,2030,"for num in [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]:
 if num % 2 == 0:
 print(___)",num
Generate a Python function to print all the even numbers from 0 to a given number.,10,"def print_even_numbers(n):
    for i in range(0, n+1):
        if i % 2 == 0:
            print(i)

print_even_numbers(10)",Introduction Python,2060,"def print_even_numbers(n):
    for i in range(0, n+1):
        if i % 2 == 0:
            print(___)

print_even_numbers(10)",i
Implement a function in Python to print all the uppercase letters from a given string.,"String: ""Hello World""","def print_uppercase(s):
    for c in s:
        if c.isupper():
            print(c)

print_uppercase(""Hello World"")
# Output:
# H
# W",Introduction Python,2091,"def print_uppercase(s):
    for c in s:
        if c.isupper():
            print(___)

print_uppercase(""Hello World"")
# Output:
# H
# W",c
Construct a nested loop in Python to print out the following elements in a new line.,"[1,2,3], [4,5,6], [7,8,9]","for x in [1,2,3]:
  for y in [4,5,6]:
      for z in [7,8,9]:
          print(x,y,z)",Introduction Python,2126,"for x in [1,2,3]:
  for y in [4,5,6]:
      for z in [7,8,9]:
          print(___)","x,y,z"
Create a basic Python application to return the similarity between two strings using fuzzywuzzy.,"The two strings are: ""Apple"" and ""Apples"".","# Import the necessary modules
import fuzzywuzzy 
from fuzzywuzzy import process

# The two strings to compare 
str1 = 'Apple'
str2 = 'Apples'

# Compare the two strings
score = fuzzywuzzy.fuzz.ratio(str1, str2)

# Print the similarity score
print(score)

# Output 
100",Introduction Python,2206,"# Import the necessary modules
import fuzzywuzzy 
from fuzzywuzzy import process

# The two strings to compare 
str1 = 'Apple'
str2 = 'Apples'

# Compare the two strings
score = fuzzywuzzy.fuzz.ratio(str1, str2)

# Print the similarity score
print(___)

# Output 
100",score
Write a basic web scraper in Python using the BeautifulSoup library. The scraper should take as input a URL and output the text on the page.,Input URL: https://en.wikipedia.org/wiki/Web_scraping,"import requests
from bs4 import BeautifulSoup

url = ""https://en.wikipedia.org/wiki/Web_scraping"" 
response = requests.get(url)
soup = BeautifulSoup(response.text, 'html.parser')

text = soup.find_all('p')
for t in text:
    print(t.text)",Introduction Python,2249,"import requests
from bs4 import BeautifulSoup

url = ""https://en.wikipedia.org/wiki/Web_scraping"" 
response = requests.get(url)
soup = BeautifulSoup(response.text, 'html.parser')

text = soup.find_all('p')
for t in text:
    print(___)",t.text
Design a Python program to print out all possible permutations of a 3 character string.,ABC,"def permutation(str):
    if len(str) == 0:
        return []
    if len(str) == 1:
        return [str]
    l = [] 
    for i in range(len(str)):
       m = str[i] 
       remLst = permutation(str[:i] + str[i+1:])
       for p in remLst:
           l.append(m + p)
    return l

string = 'ABC'
l = permutation(string)
for s in l:
    print(s)",Introduction Python,2336,"def permutation(str):
    if len(str) == 0:
        return []
    if len(str) == 1:
        return [str]
    l = [] 
    for i in range(len(str)):
       m = str[i] 
       remLst = permutation(str[:i] + str[i+1:])
       for p in remLst:
           l.append(m + p)
    return l

string = 'ABC'
l = permutation(string)
for s in l:
    print(___)",s
Write a Python program to loop through a list and print each element of the list.,"[1, 2, 3, 4]","for x in [1, 2, 3, 4]:
    print(x)",Introduction Python,2474,"for x in [1, 2, 3, 4]:
    print(___)",x
Create a Python script to loop over a list of numbers and print out each value if it is greater than five.,"list = [1, 2, 3, 4, 5, 6, 7, 8]","def loop_list(list):
    for i in list:
        if i > 5:
            print(i)",Introduction Python,2503,"def loop_list(list):
    for i in list:
        if i > 5:
            print(___)",i
Create a basic web scraper in Python to parse HTML.,<p>This is some text</p><a href='www.example.com/'>Click Here</a>,"#import library
import bs4

#store HTML data
html_data = '<p>This is some text</p><a href='www.example.com/'>Click Here</a>'

#parse HTML data
soup = bs4.BeautifulSoup(html_data, 'html.parser')

#get all tags
all_tags = soup.find_all()

#print result
for tag in all_tags:
 print(tag)",Introduction Python,2589,"#import library
import bs4

#store HTML data
html_data = '<p>This is some text</p><a href='www.example.com/'>Click Here</a>'

#parse HTML data
soup = bs4.BeautifulSoup(html_data, 'html.parser')

#get all tags
all_tags = soup.find_all()

#print result
for tag in all_tags:
 print(___)",tag
Create an optimized Python program to print all prime numbers in a given range.,Apr-15,"def is_prime(n):
    if n <= 1:
        return False
  
    for i in range(2, n):
        if n % i == 0:
            return False
  
    return True
 
start = 4
end = 15
 
for num in range(start, end+1):
   if is_prime(num):
       print(num)",Introduction Python,2607,"def is_prime(n):
    if n <= 1:
        return False
  
    for i in range(2, n):
        if n % i == 0:
            return False
  
    return True
 
start = 4
end = 15
 
for num in range(start, end+1):
   if is_prime(num):
       print(___)",num
Create a basic script in Python that can automatically sort a list of items by price.,"items = [
    {
        'name': 'Sprite',
        'price': 1.99
    },
    {
        'name': 'Coca Cola',
        'price': 3.99
    },
    {
        'name': 'Pepsi',
        'price': 2.99
    }
]","items.sort(key=lambda x: x['price'])

print(items)
# Output:
[{'name': 'Sprite', 'price': 1.99},
{'name': 'Pepsi', 'price': 2.99},
{'name': 'Coca Cola', 'price': 3.99}]",Introduction Python,2628,"items.sort(key=lambda x: x['price'])

print(___)
# Output:
[{'name': 'Sprite', 'price': 1.99},
{'name': 'Pepsi', 'price': 2.99},
{'name': 'Coca Cola', 'price': 3.99}]",items
Create a Python program to search through a list of names and print out any names that contain the letter 'a'.,"names = [""John"", ""Paul"", ""George"", ""Ringo"", ""Adam"", ""Peter"", ""Alice"", ""Karen"", ""Jerry""]","names = [""John"", ""Paul"", ""George"", ""Ringo"", ""Adam"", ""Peter"", ""Alice"", ""Karen"", ""Jerry""]

for name in names:
 if 'a' in name:
 print(name)

# Output
Adam
Alice
Karen",Introduction Python,2648,"names = [""John"", ""Paul"", ""George"", ""Ringo"", ""Adam"", ""Peter"", ""Alice"", ""Karen"", ""Jerry""]

for name in names:
 if 'a' in name:
 print(___)

# Output
Adam
Alice
Karen",name
Implement a Python parser to print return a list of words from a given string.,"""Hello, World!""","def parse_words(string):
    words = []

    for word in string.split("" ""):
        words.append(word.strip(""!,.? \n\t\r\""\'-""))
    return words

result = parse_words(""Hello, World!"")
print(result)
##
Output: ['Hello', 'World']",Introduction Python,2688,"def parse_words(string):
    words = []

    for word in string.split("" ""):
        words.append(word.strip(""!,.? \n\t\r\""\'-""))
    return words

result = parse_words(""Hello, World!"")
print(___)
##
Output: ['Hello', 'World']",result
"Create an algorithm in Python to print the numbers from 1 to n in increasing order, except for any numbers which are divisible by 3 should be printed as ""Fizz"".",`n = 20`,"def fizz(n):
    for i in range(1, n+1):
        if i % 3 == 0:
            print(""Fizz"")
        else:
            print(i)

#example
fizz(20) # prints 1, 2, Fizz, 4, 5, Fizz, 7, 8, Fizz, 10, 11, Fizz, 13, 14, Fizz, 16, 17, Fizz, 19, 20",Introduction Python,2693,"def fizz(n):
    for i in range(1, n+1):
        if i % 3 == 0:
            print(___)
        else:
            print(i)

#example
fizz(20) # prints 1, 2, Fizz, 4, 5, Fizz, 7, 8, Fizz, 10, 11, Fizz, 13, 14, Fizz, 16, 17, Fizz, 19, 20","""Fizz"""
Generate a Python program to print all possible permutations of a given string.,"Input string: ""ABC""","from itertools import permutations 
  
# Get all permutations of length 2 
# and length 2 
perm = permutations(""ABC"", 2) 
  
# Print the obtained permutations 
for i in list(perm): 
    print(i) 

# Get all permutations of length 3 
# and length 3 
perm = permutations(""ABC"") 
  
# Print the obtained permutations 
for i in list(perm): 
    print(i)",Introduction Python,2741,"from itertools import permutations 
  
# Get all permutations of length 2 
# and length 2 
perm = permutations(""ABC"", 2) 
  
# Print the obtained permutations 
for i in list(perm): 
    print(___) 

# Get all permutations of length 3 
# and length 3 
perm = permutations(""ABC"") 
  
# Print the obtained permutations 
for i in list(perm): 
    print(i)",i
Write a Python script to print out all prime numbers in a given list.,"[4, 15, 22, 50, 119]","import math

def is_prime(n):
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0: 
            return False
    return True

input_list = [4, 15, 22, 50, 119]

for num in input_list:
    if is_prime(num):
        print(num)

# Output: 
# 4
# 15
# 50
# 119",Introduction Python,2776,"import math

def is_prime(n):
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0: 
            return False
    return True

input_list = [4, 15, 22, 50, 119]

for num in input_list:
    if is_prime(num):
        print(___)

# Output: 
# 4
# 15
# 50
# 119",num
Create a Python function to print out all the prime numbers between two integers.,"start = 10, end = 25","def print_primes(start, end):
 for n in range(start, end + 1):
 if is_prime(n):
 print(n)
 
def is_prime(n):
 if n <= 1:
 return False
 elif n <= 3:
 return True
 elif (n % 2 == 0) or (n % 3 == 0):
 return False
 
 i = 5
 while i ** 2 <= n:
 if (n % i == 0) or (n % (i + 2) == 0):
 return False
 i += 6
 
 return True

print_primes(10, 25)",Introduction Python,2840,"def print_primes(start, end):
 for n in range(start, end + 1):
 if is_prime(n):
 print(___)
 
def is_prime(n):
 if n <= 1:
 return False
 elif n <= 3:
 return True
 elif (n % 2 == 0) or (n % 3 == 0):
 return False
 
 i = 5
 while i ** 2 <= n:
 if (n % i == 0) or (n % (i + 2) == 0):
 return False
 i += 6
 
 return True

print_primes(10, 25)",n
Write a Python program to print out all possible pairs of two lists.,"list1 = [1, 2, 3]
list2 = ['a', 'b', 'c']","for i in list1:
    for j in list2:
        print(i,j)

# Output:
# (1, 'a')
# (1, 'b')
# (1, 'c')
# (2, 'a')
# (2, 'b')
# (2, 'c')
# (3, 'a')
# (3, 'b')
# (3, 'c')",Introduction Python,2910,"for i in list1:
    for j in list2:
        print(___)

# Output:
# (1, 'a')
# (1, 'b')
# (1, 'c')
# (2, 'a')
# (2, 'b')
# (2, 'c')
# (3, 'a')
# (3, 'b')
# (3, 'c')","i,j"
Create a for loop in Python to iterate over a list of numbers and print only the even numbers.,"my_list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","for num in my_list:
    if num % 2 == 0:
        print(num)",Introduction Python,2917,"for num in my_list:
    if num % 2 == 0:
        print(___)",num
Optimize the following Python code to print the numbers in reverse.,"for i in range(1,11):
    print(i)","for i in reversed(range(1,11)):
    print(i)",Introduction Python,2935,"for i in reversed(range(1,11)):
    print(___)",i
Write a Python program to print the key of the element in a dictionary that has the maximum value.,"{'a': 3, 'b': 6, 'c': 9, 'd': 12}","dictionary = {'a': 3, 'b': 6, 'c': 9, 'd': 12}

max_value = max(dictionary.values())
for key, value in dictionary.items():
 if value == max_value:
 print(key)",Introduction Python,2984,"dictionary = {'a': 3, 'b': 6, 'c': 9, 'd': 12}

max_value = max(dictionary.values())
for key, value in dictionary.items():
 if value == max_value:
 print(___)",key
Write a Python script to print all prime numbers from 1 to n,n = 10,"def print_primes(n):
    for num in range(2, n+1):
        for i in range(2, num):
            if (num % i) == 0:
                break
        else:
            print(num)

print_primes(10)",Introduction Python,3021,"def print_primes(n):
    for num in range(2, n+1):
        for i in range(2, num):
            if (num % i) == 0:
                break
        else:
            print(___)

print_primes(10)",num
Write a Python program to traverse a two-dimensional array and print each row.,"[
    [1, 2, 3],
    [4, 5, 6]
]","def traverse_2d_list(list2d):
    for row in list2d:
        print(row)",Introduction Python,3050,"def traverse_2d_list(list2d):
    for row in list2d:
        print(___)",row
