Instruction,Input,Output
Design a Python function that converts strings in any given sentence to a capitalized format.,This is an example sentence,"def convertToCapitalize(sentence)
    words = sentence.split()
    capitalize = [word.capitalize() for word in words]
    return "" "".join(capitalize)"
"Using the given data, write a Python program to extract each name along with its age in the following format:","data = [{""name"": ""John"", ""age"": 25}, {""name"": ""James"", ""age"": 26}]","for item in data:
    print(f'Name: {item[""name""]}, Age: {item[""age""]}')"
Construct a Python program that calculates the sum of all the items in a given list.,"[1, 4, 2, 5, 9]","def sumoflist(list): 
  sum = 0
  for i in range(0, len(list)): 
    sum = sum + list[i] 
  
  return sum

list1 = [1, 4, 2, 5, 9] 
print(sumoflist(list1))"
Write a function in Python that takes an array of integers and its size as parameters and returns the maximum value in the array.,"arr = [1, 6, 8, 4, 9, 6, 10]
n = len(arr)","def findMax(arr, n):
 # Initializing max with first element of array
 max = arr[0]

 # Starting loop from second element
 for i in range(1, n):
 # Comparing max with remaining elements of array
 if arr[i] > max:
 max = arr[i]

 # Returning maximum
 return max"
Create a program in Python to convert an array of integers to an array of binary numbers.,"[2,4,7]","def int_to_bin(arr):
   binary = []
   for num in arr:
       binary.append(bin(num))
   return binary

arr = [2,4,7]
bin_arr = int_to_bin(arr)
print(bin_arr)"
Generate a function in Python to filter a given list and keep only the numeric items in the list.,"input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8]","def filter_numeric(input_list): 
    
    num_list = [] 
  
    for item in input_list:
        if type(item) == int or type(item) == float: 
            num_list.append(item) 
   
    return num_list 
  
input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8] 
print(filter_numeric(input_list)) 
#Output: [4, 2, 1, 15.6, 5.8]"
Create an algorithm to determine if two strings have the same character set in Python.,"Strings: ""paris"" and ""sapir""","def same_charset(str1, str2):
	
	str1 = sorted(str1) 
	str2 = sorted(str2)
 
	if(str1 == str2):
		return True
	else:
		return False"
Write a python program to check if two sequences are identical.,"[1,2,3], [1,2,3]","def check_seq(seq1, seq2):
    if len (seq1) != len (seq2): 
        return False
    else: 
        for i in range(len (seq1)):
            if seq1[i] != seq2[i]:
                return False
    return True"
Design a Python script to nested loop iterate the following list of lists.,"arr = [['a', 'b', 'c'], ['d', 'e', 'f'], ['g', 'h', 'i']]","for outer in arr:
   for inner in outer:
       print(inner)"
Design a class in Python that models a customer with the following properties,"Attributes: name, email, phone_number, address.","class Customer:
    def __init__(self,name, email, phone_number, address):
        self.name = name
        self.email = email
        self.phone_number = phone_number
        self.address = address"
Create a Python program to find the area of a given trapezoid.,"base1 = 2
base2 = 4
height = 3","def area_trapezoid(base1, base2, height):
 return (base1 + base2) * (height / 2)
 
print(area_trapezoid(2, 4, 3)) # Output: 9.0"
Write a function in Python that computes the average of all numbers in a given list.,"numbers = [4, 8, 6, 2, 10]","def compute_average(numbers):
  total = 0
  for num in numbers:
    total += num
  return total / len(numbers)

average = compute_average(numbers)
print(average)  # Outputs 6"
"Create a Python script to transform a list of strings into a list of integers, each integer representing the length of the corresponding string.","[""Hello"", ""World"", ""Goodbye""]","def string_to_length(list_strings):
    return [len(string) for string in list_strings]"
Create a Python program to multiply all of the values in a given list,"[2, 3, 4]","def multiply_list(lst):
    result = 1
    for i in lst:
        result *= i
    return result"
Write a Python program to calculate the cost of sending a message through a messaging service,"Message size: 172 bytes
Price per message: 0.0003 USD","""""""
Calculate the cost of sending a message through a messaging service
""""""

# Message size
size = 172 # bytes

# Price per message
price_per_message = 0.0003 # USD

# Calculate cost
cost = size * price_per_message

print(""The cost of sending a message is {:.3f} USD"".format(cost))"
Develop a program in Python to compute the maximum contiguous subarray sum.,"[-3, 2, 5, -1, 6, 3, -2]","def maxSubArraySum(arr):
    max_so_far = arr[0]
    curr_max = arr[0]
    
    for i in range(1, len(arr)):
        curr_max = max(arr[i], curr_max + arr[i])
        max_so_far = max(max_so_far, curr_max)
        
    return max_so_far"
Create a Python program to generate a dot product between two given lists.,"list1 = [1, 2, 3]
list2 = [4, 5, 6]","def dot_product(list1, list2):
  product = 0
  for x, y in zip(list1, list2):
    product += x*y
  return product"
Use an existing Python function to find the longest string in the following array.,"arr = [""cat"", ""dog"", ""elephant"", ""squirrel"", ""moose""","max(arr, key=len) # returns ""elephant"""
Write a python program to reverses a list while preserving the order of the elements,"lst = [1,2,3,4,5]","lst.reverse()
print(lst)  #output: [5,4,3,2,1]"
Create an algorithm using Python to find the largest number in a list.,"[8, 5, 10, 3]","def find_largest_number(numbers):
    # Finds the largest number from the given list
    largest = 0
    for num in numbers:
        if num > largest:
            largest = num
    return largest
 
numbers = [8, 5, 10, 3]
largest = find_largest_number(numbers)
print(largest)"
Refactor a Python program to concatenate two strings without using the string.concat() function,"// Python program
str1 = ""Hello ""
str2 = ""World""

result = str1.concat(str2)
print(""Concatenated string: "", result)","str1 = ""Hello ""
str2 = ""World""
result = str1 + str2
print(""Concatenated string: "", result)"
Create a Python program that produces the output shown in this example.,"3
3
3
3
3
3","def print_grid(grid_size):
    for x in range(grid_size):
        for y in range(grid_size):
            print(grid_size, end="" "")
        print()

grid_size = 3
print_grid(grid_size)"
Write a Python program to take user input and check if it is a palindrome or not.,racecar,"def isPalindrome(inp):
 inp = inp.lower()
 return inp == inp[::-1]

user_input = input('Enter string: ')
if isPalindrome(user_input):
 print('It\'s a palindrome')
else:
 print('It\'s not a palindrome')"
Create a program in Python to sort a given unsorted list.,"[5, 4, 1, 8, 9, 2]","def sortList(lst): 
    lst.sort() 
    return lst
  
ar_list = [5, 4, 1, 8, 9, 2]
result = sortList(ar_list) 
  
print(result)"
Calculate the average grade of a student given a list of their grades in Python.,"grades = [90, 85, 80, 75, 70]","def calculate_average_grade(grades): 
 total = 0
 for grade in grades: 
 total += grade 
 avg_grade = total / len(grades) 
 return avg_grade 

grades = [90, 85, 80, 75, 70] 
avg_grade = calculate_average_grade(grades) 
print('Average Grade: ', avg_grade) # Output: Average Grade: 80.0"
Update the code snippet below so it works with Python 3.,"def message():
 print ""Hello World!""","def message():
 print(""Hello World!"")"
Rewrite the below program to use Python's dictionary comprehension.,"states = {'NY': 'New York', 'PA': 'Pennsylvania', 'FL': 'Florida'}

inverse_states = {}

for key,value in states.items():
  inverse_states[value] = key","states = {'NY': 'New York', 'PA': 'Pennsylvania', 'FL': 'Florida'}

inverse_states = {value:key for key,value in states.items()}"
"Create an AWS Lambda function in Python that accepts a JSON object as input, processes it, and returns the result.","{
 ""x"": 10,
 ""y"": 20
}","import json

def handler(event, context):
 x = event[""x""]
 y = event[""y""]
 res = x + y
 return {
 ""statusCode"": 200,
 ""body"": json.dumps({""result"": res})
 }"
Design a sorting algorithm in Python that will sort a given array of numbers in ascending order.,"[5, 9, 4, 2, 6]","def sort(nums):
    for i in range(len(nums)):
        min_ind = i
        for j in range(i+1, len(nums)):
            if nums[j] < nums[min_ind]:
                min_ind = j
        nums[i], nums[min_ind] = nums[min_ind], nums[i]
    return nums"
Create a _JSON serializer_ for a given Python data structure.,"data = {
 'name': 'Alice',
 'age': 22,
 'hobbies': ['coding', 'guitar']
}","import json

data = {
 'name': 'Alice',
 'age': 22,
 'hobbies': ['coding', 'guitar']
}

json_data = json.dumps(data)

print(json_data)"
Modify a given Python program to optimize its performance.,"def process_array(array):
 n = len(array)
 result = 0
 for i in range(n):
  result += array[i]
 return result","def process_array(array):
 n = len(array)
 result = 0
 sum_backward = 0
 
 # Starting from the end and going towards the beginning 
 # this is an opportunity to reduce the time complexity 
 for i in range(n-1, -1, -1):
  sum_backward += array[i]
  result += sum_backward
  
 return result"
Write a Python program to generate a Fibonacci sequence of given length.,length = 8,"def getFibonacciSequence(length): 
    a = 0
    b = 1
    result = [a, b] 
    if (length < 2):
        return result 
    else:
        for i in range(2, length):
            c = a + b
            a = b 
            b = c
            result.append(c)
    return result
  
print(getFibonacciSequence(8))"
Write a Python program that takes a sentence as an argument and removes all punctuations from it.,"String: ""This, is a?! test* sentence.""","import string

def removePunctuations(sentence):
    return sentence.translate(str.maketrans('', '', string.punctuation))

print(removePunctuations(""This, is a?! test* sentence.""))"
Create a Python program to loop through a given list and print each item on a new line.,"my_list = [""apples"", ""oranges"", ""bananas""]","for item in my_list:
    print(item)"
Create a function in Python that implements binary search.,"[2, 5, 7, 9, 12, 15], 12","def binary_search(arr, value): 
    low = 0
    high = len(arr) - 1
  
    while low <= high: 
        mid = (low + high) // 2
        if arr[mid] < value: 
            low = mid + 1
        elif arr[mid] > value: 
            high = mid - 1
        else: 
            return mid 
  
    return -1

# Test
arr = [2, 5, 7, 9, 12, 15]
value = 12
print(binary_search(arr, value)) # 4"
Create a for-loop in Python and use it to find the sum of a list of integers.,"[1, 4, 9, 16, 25]","total = 0
for num in [1, 4, 9, 16, 25]:
  total += num
print(total)"
Create a function in Python that converts a Fahrenheit temperature to Celsius.,100 degrees,"def convertFahrenheitToCelsius(fahrenheit):
    celsius = (fahrenheit - 32) * 5/9
    print(""{}°F is {}°C"".format(fahrenheit,celsius))

convertFahrenheitToCelsius(100)"
Generate a Python program to copy all elements of one list into another list.,"source = [0, 1, 2]","source = [0, 1, 2]
 
dest = []
 
for item in source:
    dest.append(item)
    
print(dest)"
Write a Python script that uses recursion to calculate the Fibonacci sequence for a given number of terms.,6,"def Fibonacci(n): 
   if n<0: 
      print(""Incorrect input"") 
   elif n==1: 
      return 0
   elif n==2: 
      return 1
   else: 
      return Fibonacci(n-1)+Fibonacci(n-2) 
 
# Driver Program 
n = 6
print(Fibonacci(n))"
Convert the Python code attached to an equivalent Java program.,"def print_list(lst):
    for item in lst:
        print(item)","public class ListPrinter {
    public static void printList(List<Object> lst) {
        for (Object item : lst) {
            System.out.println(item);
        }
    }
}"
Create a python program that applies mean normalization to the given data.,"[1, 2, 3, 4, 5, 6]","def normalize_mean(data):
    mean = np.mean(data)
    normalized = [x - mean for x in data]
    return normalized"
Create a Python program that takes in a list and returns a new list. The program should subtract 10 from every element in the list.,"list = [1,2,3,4,5]","def subtractFromList(list): 
 return [x - 10 for x in list]"
Create a python code that takes in a sentence and returns a list containing the length of each word.,"sentence = ""Hello I am a sentence""",sentence_lengths = [len(word) for word in sentence.split()]
Write a Python program to implement Linear Search for an array of numbers,"arr = [2, 3, 5, 7, 11]
n = 11","def LinearSearch(arr, n):
 for i in range(len(arr)):
 if arr[i] == n:
 return i
 return -1

index = LinearSearch(arr, n)
print(index)"
Create a function in Python to find the longest string in a given list of strings,"[""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]","def find_longest_string(arr):
    longest_string = ''
    for s in arr:
        if len(s) > len(longest_string):
            longest_string = s
    return longest_string

arr = [""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]
result = find_longest_string(arr)
print('Longest string is', result)"
Create a function in Python that takes two parameters: a list of numbers and a number called ‘n’ and returns the last n numbers in the list.,"myList = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
n = 3","def last_n_numbers(myList, n):
  return myList[-n:]
  
res = last_n_numbers(myList, n)
print(res) 

# Output
[8, 9, 10]"
"Write a python program that will take a given string and return a new string that is the same as the given one, except that all letters are reversed.","""Hello World!""","def reverseString(string): 
    string = """".join(reversed(string)) 
    return string 

if __name__ == ""__main__"": 
    string = ""Hello World!""
    print(reverseString(string))

# Output:
""!dlroW olleH"""
Write a Python program to print the 3 most common elements of a given list.,"Input = [2, 5, 3, 7, 8, 5, 10, 19, 20]","from collections import Counter

Input = [2, 5, 3, 7, 8, 5, 10, 19, 20] 
  
Counter = Counter(Input) 
  
most_occur = Counter.most_common(3)

for i in most_occur: 
    print(i[0], "":"", i[1])"
Generate a Python script that prints the sum of the numbers in the given range.,Start: 10 End: 19,"# Initialize one variable to store result
result = 0

# Use a loop to iterate through the given range
for num in range(10, 20):
    result += num

# Print the result
print(result)"
Create a function that computes an array of odd numbers within a given range,an integer n,"# Python3 program to find odd numbers in a range  

def odd_numbers(n): 
    odd_numbers = [] 
      
    # looping through each number 
    for i in range(1, n + 1): 
        if i % 2 != 0: 
            odd_numbers.append(i) 
    return odd_numbers"
Implement a search algorithm in Python to look for the value in the list.,"list_tmp = [1, 23, 42, 5, 7, 34, 89]
value = 42","def search(list_tmp, value): 
    for index, item in enumerate(list_tmp): 
        if item == value: 
            return index 

    return -1"
"Design a Python program to read in a list of list of strings, eliminate duplicate entries, sort them and print out the result.","[['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]","def removeduplicates(list_of_string):
    result = []
    for item in list_of_string:
        if item not in result:
            result.append(item)
    result.sort()
    return result

list_of_string = [['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]
print(removeduplicates(list_of_string))"
Create an API wrapper in Python for the following API,"""https://example.com/api/users/list""","import requests 

# API wrapper for the given API 
def api_wrapper(url): 
    # get the API response 
    response = requests.get(url) 

    # check the response status 
    if(response.status_code == 200): 
        # return json data 
        return response.json()
    else: 
        return None"
Generate a Python program to remove a key-value pair in a dictionary.,"d = { 'a': 10, 'b': 20, 'c':30 }","def remove_pair(d, key):
 if key in d:
 del d[key]
 return d
 
d = { 'a': 10, 'b': 20, 'c':30 }
remove_pair(d, 'c')"
Design a Python algorithm to parse a list of strings and prints the longest string's length.,"listOfString= [""I"", ""am"", ""so"", ""happy""]","listStrings= [""I"", ""am"", ""so"", ""happy""]
longestStringLen = 0
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)"
Edit the following code to fix any errors.,"# Python code to print the Fibonacci series
limit = int(input(""Enter limit : ""))

a = 0
b = 1

while(limit):
	print(a, end='\t')
	a = b
	b += b
	limit -= 1","# Python code to print the Fibonacci series
limit = int(input(""Enter limit : ""))

a = 0
b = 1

while(limit):
	print(a, end='\t')
	a, b = b, a + b
	limit -= 1"
"In Python, use the re module to remove the HTML tags from a given string.",String: <b>This is a bold string</b>,"import re

string = ""<b>This is a bold string</b>""

clean_string = re.sub(r'<[^>]*>', '', string)

print(clean_string)"
Write a Python program to create a function that receives a list of strings and returns a new list with the strings sorted according to their length.,"[""Python"", ""is"", ""a"", ""programming"", ""language""]","def sort_list_by_length(list_of_strings):
    return sorted(list_of_strings, key=len) 

list_of_strings = [""Python"", ""is"", ""a"", ""programming"", ""language""]
sorted_list = sort_list_by_length(list_of_strings) 

print(sorted_list)"
Create an algorithm in Python which takes an integer as input and prints out the binary reversed version of that number.,num = 8,"bin_str = bin(num)
rev_bin_str = '0b' + bin_str[:1:-1]
rev_num = int(rev_bin_str,2)

print(""The binary reversed version of {} is {}"".format(num, rev_num))"
Edit a python program to print the square of a number input by the user.,"num = input(""Enter a number: "")","num = input(""Enter a number: "")

num = int(num)

print(""The square of the number is:"", num**2)"
Generate a valid JSON representation for the following object.,"{""name"": ""John Doe"", ""age"": 34, ""skills"": [""JavaScript"", ""Python""]}","{
 ""name"": ""John Doe"",
 ""age"": 34,
 ""skills"": [
  ""JavaScript"",
  ""Python""
 ]
}"
Create a Python program to find the intersection of two given array. The intersected elements should be the elements present in both the arrays.,"Array 1: [3, 5, 2, 8, 1], Array 2: [5, 8, 9, 7]","def intersection(array_1, array_2): 
    result = [] 
    for num in array_1: 
        if num in array_2: 
            result.append(num) 
    return result"
Generate a Python function that takes an array of elements and finds the frequency of each element,"[1,4,1,4,4,4,9,7]","def count_frequency(l):
    frequencies = {}
    for i in l:
        if i in frequencies:
            frequencies[i] += 1
        else:
            frequencies[i] = 1
    return frequencies

l = [1,4,1,4,4,4,9,7]
print(count_frequency(l))"
Write a function in Python to get the number of occurrences of a particular character in a given sentence.,"sentence = ""Hello world!""
character = 'l'","def count_occurrences(sentence, character): 
    return sentence.count(character)"
Design a function in Python for filtering out unique elements in a list.,"list = [1, 2, 2, 3, 3, 4]","def filter_list(list): 
  filtered_list = [] 

  for i in list: 
    if i not in filtered_list: 
      filtered_list.append(i) 
  
  return filtered_list"
Implement a function to remove all occurrences of the word 'python' from a given sentence.,"sentence = ""I love learning Python but sometimes it is hard to understand""","def remove_word(sentence, word):
    words = sentence.split()
    new_words = [w for w in words if w != word]
    return ' '.join(new_words)

new_sentence = remove_word(sentence, 'Python')"
Write a function in Python for sorting a list of objects by an attribute 'name'.,"list_of_objects = [{""name"": ""John"", ""age"": 35}, {""name"": ""Liz"", ""age"": 25}, {""name"": ""Max"", ""age"": 28}]","def sort_by_name(lst): 
    return sorted(lst, key=lambda item: item[""name""])"
Create a Python function that sorts a list of strings alphabetically,"[‘apple’,’orange’,’pear’]","def sort_strings(list_of_strings):
    sorted_list = sorted(list_of_strings, key=lambda str: str.lower())
    return sorted_list

result = sort_strings(['apple', 'orange', 'pear'])
print(result)"
Write a Python program to solve a quadratic equation.,"a = 1
b = -5
c = 6","import math

# Solve the quadratic equation ax**2 + bx + c = 0 
# ax**2 + bx + c = 0 
# find x

a = 1
b = - 5
c = 6

d = (b**2) - (4*a*c)
 
# find two solutions
sol1 = (-b-math.sqrt(d))/(2*a)
sol2 = (-b+math.sqrt(d))/(2*a)
 
print('The solution are {0} and {1}'.format(sol1,sol2))"
Design a function in Python to determine if a given number is prime.,37,"def is_prime(n):
    if n <= 1: 
        return False
    if n == 2: 
        return True
    if n > 2 and n % 2 == 0: 
        return False

    sqrt_n = int(n**0.5)
    for i in range(3, sqrt_n+1, 2):
        if n % i == 0:
            return False
    return True

if is_prime(37):
    print('37 is a prime number!')"
Write code in Python to calculate the mean for a given list of numbers.,"[4, 17, 12, 78, 43, 13, 94, 77]","import numpy as np 

# given list of numbers 
list = [4, 17, 12, 78, 43, 13, 94, 77] 

# calculating mean 
mean = np.mean(list) 

# printing mean 
print(""Mean:"", mean)"
Find the most efficient Python code to print all the divisors of an input number.,input = 28,"# Python Program to find the factors of a number

# define a function
def print_divisors(input):

    # find all factors of the input number
    for i in range(1, input + 1):
        if input % i == 0:
            print (i)

# take input from the user
input = 28

# print the divisors
print_divisors(input)"
Create a Python function that takes a positive integer as input and returns a list of its prime factors.,The number 12.,"def prime_factors(number):
 prime_factors = []
 i = 2
 while number > 1:
  if number % i == 0:
   prime_factors.append(i)
   number //= i
  else:
   i += 1
 return prime_factors

print(prime_factors(12))
# [2, 2, 3]"
"Write a Python program to keep track of an array of prices, and output the maximum and minimum price in the array.","[20, 40, 60, 5]","prices = [20, 40, 60, 5]

max_price = max(prices)
min_price = min(prices)

print('Max price is: ' + str(max_price))
print('Min price is: ' + str(min_price))"
Write a Python code to tokenize the given sentence.,This is a sample sentence,"import nltk

sentence = ""This is a sample sentence""

tokenized_words = nltk.word_tokenize(sentence)

print(tokenized_words)"
"Given a Python list, create a new list of all items in the first list that are not in the second list.","first_list = [1, 2, 3, 4, 5]
second_list = [3, 4]","first_list = [1, 2, 3, 4, 5]
second_list = [3, 4]

new_list = []

for item in first_list:
    if item not in second_list:
        new_list.append(item)
        
print(new_list) # [1, 2, 5]"
Write a correct Python program to extract all words from a given sentence which have 4 or more characters.,"my_sentence = ""This is an example sentence""","def words_with_four_or_more_characters(my_sentence):
  words = my_sentence.split("" "")
  four_plus_words = []
  for word in words:
    if len(word) >= 4:
      four_plus_words.append(word)
  return four_plus_words"
"Given a list of numbers, write a Python program to calculate the median.","[3, 4, 5, 9, 12, 15]","def median(nums):
    nums.sort()
    n = len(nums)
    if n % 2 == 0:
        return (nums[n//2] + nums[(n//2) - 1]) / 2
    return nums[n//2]

nums = [3, 4, 5, 9, 12, 15]
print(median(nums))"
Edit the given Python code to make it asynchronous.,"""""""
def find_files(files, pattern):
    result = []
    for f in files:
        if re.search(pattern, f):
            result.append(f)
    return result
""""""","""""""
import asyncio
import re

async def find_files(files, pattern):
    result = []
    for f in files:
        if re.search(pattern,f):
            result.append(f)
    return result
"""""""
Write a Python code to generate the Fibonacci sequence up to n-th number.,7,"def fibonacciSequence(n): 
    fibSequence = []
    a, b = 0, 1
    while b < n:
        fibSequence.append(b)
        a, b = b, a + b
    return fibSequence

n = 7

print(fibonacciSequence(n)) // [1, 1, 2, 3, 5]"
Create a Python script to solve an equations.,2x + 3 = 5,"def solve(eq):
    lhs_x = eq.split(""="")[0]
    rhs = float(eq.split(""="")[1])
    x = float(lhs_x.split(""+"")[0].split(""x"")[0])
    constant = float(lhs_x.split(""+"")[1])
    return (rhs - constant) / x

if __name__ == ""__main__"":
    eq = ""2x + 3 = 5""
    print(solve(eq))"
Create a Python program that takes two strings as input and creates a new string with the characters in the second string that are not present in the first string.,"'jello','hello'","def difference(string1, string2):
  new_string = ''
  
  for char in string2:
    if char not in string1:
      new_string += char
      
  return new_string

string1 = 'jello'
string2 = 'hello'

print(difference(string1, string2)) # Output: 'e'"
Output the maximum value of a Python dictionary.,"{
 'a': 10, 
 'b': 20, 
 'c': 30
}",max_value = max(dictionary.values()) # 30
Develop an algorithm in Python to generate a Fibonacci series up to the nth value.,n = 10,"# Program to generate a Fibonacci series using an algorithm

# function to generate Fibonacci series
def generate_fibonacci_series(n):
    a, b = 0, 1 
    result = [] 
    while b < n:
        result.append(b)
        a, b = b, a + b 
    return result

# Driver code 
n = 10
result = generate_fibonacci_series(n)
print(""The Fibonacci number up to"", n, ""is"", result)"
