question_id,Instruction,materi
49,Calculate the average grade of a student given a list of their grades in Python.,Data Structure
50,Update the code snippet below so it works with Python 3.,Lainnya
51,Rewrite the below program to use Python's dictionary comprehension.,Lainnya
52,"Create an AWS Lambda function in Python that accepts a JSON object as input, processes it, and returns the result.",Function
53,Design a sorting algorithm in Python that will sort a given array of numbers in ascending order.,Data Structure
54,Create a _JSON serializer_ for a given Python data structure.,Control Structure
55,Modify a given Python program to optimize its performance.,Lainnya
56,Write a Python program to generate a Fibonacci sequence of given length.,Lainnya
57,Write a Python program that takes a sentence as an argument and removes all punctuations from it.,Lainnya
58,Create a Python program to loop through a given list and print each item on a new line.,Introduction Python
59,Create a function in Python that implements binary search.,Function
60,Create a for-loop in Python and use it to find the sum of a list of integers.,Operator
61,Create a function in Python that converts a Fahrenheit temperature to Celsius.,Function
62,Generate a Python program to copy all elements of one list into another list.,Data Structure
63,Write a Python script that uses recursion to calculate the Fibonacci sequence for a given number of terms.,Control Structure
64,Convert the Python code attached to an equivalent Java program.,Lainnya
65,Create a python program that applies mean normalization to the given data.,Lainnya
66,Create a Python program that takes in a list and returns a new list. The program should subtract 10 from every element in the list.,Data Structure
67,Create a python code that takes in a sentence and returns a list containing the length of each word.,Data Structure
68,Write a Python program to implement Linear Search for an array of numbers,Data Structure
69,Create a function in Python to find the longest string in a given list of strings,Data Type
70,Create a function in Python that takes two parameters: a list of numbers and a number called ‘n’ and returns the last n numbers in the list.,Data Structure
71,"Write a python program that will take a given string and return a new string that is the same as the given one, except that all letters are reversed.",Data Type
72,Write a Python program to print the 3 most common elements of a given list.,Introduction Python
73,Generate a Python script that prints the sum of the numbers in the given range.,Lainnya
74,Create a function that computes an array of odd numbers within a given range,Data Structure
75,Implement a search algorithm in Python to look for the value in the list.,Data Structure
76,"Design a Python program to read in a list of list of strings, eliminate duplicate entries, sort them and print out the result.",Introduction Python
77,Create an API wrapper in Python for the following API,Control Structure
78,Generate a Python program to remove a key-value pair in a dictionary.,Operator
79,Design a Python algorithm to parse a list of strings and prints the longest string's length.,Data Type
80,Edit the following code to fix any errors.,Lainnya
81,"In Python, use the re module to remove the HTML tags from a given string.",Data Type
82,Write a Python program to create a function that receives a list of strings and returns a new list with the strings sorted according to their length.,Data Structure
83,Create an algorithm in Python which takes an integer as input and prints out the binary reversed version of that number.,Lainnya
84,Edit a python program to print the square of a number input by the user.,Introduction Python
85,Generate a valid JSON representation for the following object.,Control Structure
86,Create a Python program to find the intersection of two given array. The intersected elements should be the elements present in both the arrays.,Data Structure
87,Generate a Python function that takes an array of elements and finds the frequency of each element,Data Structure
88,Write a function in Python to get the number of occurrences of a particular character in a given sentence.,Function
89,Design a function in Python for filtering out unique elements in a list.,Data Structure
90,Implement a function to remove all occurrences of the word 'python' from a given sentence.,Function
91,Write a function in Python for sorting a list of objects by an attribute 'name'.,Data Structure
92,Create a Python function that sorts a list of strings alphabetically,Data Structure
93,Write a Python program to solve a quadratic equation.,Lainnya
94,Design a function in Python to determine if a given number is prime.,Control Structure
95,Write code in Python to calculate the mean for a given list of numbers.,Data Structure
96,Find the most efficient Python code to print all the divisors of an input number.,Introduction Python
97,Create a Python function that takes a positive integer as input and returns a list of its prime factors.,Data Structure
98,"Write a Python program to keep track of an array of prices, and output the maximum and minimum price in the array.",Data Structure
99,Write a Python code to tokenize the given sentence.,Lainnya
100,"Given a Python list, create a new list of all items in the first list that are not in the second list.",Data Structure
101,Write a correct Python program to extract all words from a given sentence which have 4 or more characters.,Lainnya
102,"Given a list of numbers, write a Python program to calculate the median.",Data Structure
103,Edit the given Python code to make it asynchronous.,Lainnya
104,Write a Python code to generate the Fibonacci sequence up to n-th number.,Operator
105,Create a Python script to solve an equations.,Lainnya
106,Create a Python program that takes two strings as input and creates a new string with the characters in the second string that are not present in the first string.,Data Type
107,Output the maximum value of a Python dictionary.,Lainnya
108,Develop an algorithm in Python to generate a Fibonacci series up to the nth value.,Lainnya
109,Train a machine learning model in Python using a given dataset and generate a confusion matrix.,Lainnya
110,Optimize the following Python code snippet to make it run faster.,Lainnya
111,Write a Python program for computing the sum of a given array of integers.,Data Structure
112,You are given the following string. Write a Python program to print how many times each word appears in the string.,Introduction Python
113,Write a Python program to take a list of words and create a dictionary with the words as keys and the frequency of each word as the values.,Data Structure
114,Create a recursive function in Python to calculate the factorial of the following number:,Function
115,Create a function to calculate the midpoint between two 3-dimensional points using Python.,Operator
116,"In Python, write a script to sort the list items in descending order.",Data Structure
117,Modify the following Python function to get the first index of the keyword within the string.,Data Type
118,Create a Python function that takes a list of strings as input and returns the longest string in the list.,Data Type
119,Write an efficient algorithm in Python to find the minumum number of iterations to reach a certain number.,Lainnya
120,Write a Python program to sort a list of dictionaries by a key in each dictionary.,Data Structure
121,"Create a Python script that takes a sentence as an input, separates all the words into a list and prints them in alphabetical order.",Data Structure
122,"Generate a function in Python which takes an array as an argument and returns an array of length two, with the first element being the maximum value and the second element being the minimum value of the array.",Data Structure
123,Develop a solution which adds two numbers X and Y and prints the sum as output using Python.,Lainnya
124,Edit the Python code below to optimize it's runtime by using an alternative algorithm.,Lainnya
125,Suggest an improvement to the following python program.,Lainnya
126,Edit this python code to make the output print in descending order (from highest to lowest).,Introduction Python
127,Edit the given Python code to reverse the order of the letters in a string without using any in-built string functions.,Operator
128,Write a Python program to check whether a sentence contains all the alphabets of the English language,Lainnya
129,Write a python script that takes a list of numbers from 1 to 8  and prints its cubic values.,Data Structure
130,Modify this given Python code to handle inputs of any size,Lainnya
131,Generate a Python program using a list comprehension that takes a 2D list of integers and computes the sum of integers at each row.,Data Structure
132,Write a function in Python that encodes a string using a simple algorithm.,Data Type
133,Take a string and output a list of all the words comprising the string,Data Type
134,Construct a python program to check if two given strings are anagrams.,Control Structure
135,"Using the given lists, create a Python dictionary that contains the expected output.",Lainnya
136,Create a Python program to copy elements of one array into another array.,Data Structure
137,Write a Python program to convert a timestamp (in seconds) to a date format (dd-mm-yyyy).,Operator
138,"In Python, parse a JSON string and return the value associated with a particular key",Data Type
139,Convert the below pseudo-code into valid Python code.,Operator
140,"Write a Python program to split a given string into substrings of fixed length, and print the substrings in a single line seperated by comma.",Introduction Python
141,"Create a Python program that reads an integer from the console and prints ""true"" if the number is even, and ""false"" if the number is odd.",Control Structure
142,Create a python program to reverse an integer.,Lainnya
143,Design a function for ordering a pizza in Python and use it to order a pizza with 3 toppings.,Control Structure
144,Construct a function in Python to calculate the area of a triangle with three sides,Function
145,Create a python script that takes in a number and tells whether it is odd or even.,Lainnya
146,Develop a Python function to determine the greatest common divisor of two integers.,Function
147,Create a translation model in python which takes a sentence as input and returns its translation in Khmer.,Lainnya
148,Create a ‘Find and Replace’ Script in Python.,Lainnya
149,Develop an algorithm in Python to print an array in reverse order.,Introduction Python
150,Generate an optimized Python code that computes the product of two numbers without using the multiplication operator.,Lainnya
151,Formulate a python program to calculate the roots of a quadratic equation with given coefficients.,Lainnya
152,Generate Python code to get the maximum element in a list.,Data Structure
153,Create a Python program that will take a list of numbers and identify if any of the numbers are multiples of three.,Data Structure
154,Generate a list of fibonacci numbers using iterative function in Python.,Data Structure
155,Find the most common word in a sentence using Python.,Lainnya
156,Convert a given list into a list of tuples using Python.,Data Structure
157,Write a Python program that displays the current status of a given stock quote.,Lainnya
158,Create a Python program that accepts an integer and displays its factorial.,Lainnya
159,Write a Python program to add two numbers given as input from the user.,Lainnya
160,Create a Python script to print out each word that begins with a vowel in a sentence.,Introduction Python
161,Write a Python program to traverse a tree data structure and print all the nodes in preorder.,Introduction Python
162,Write a python program to automatically extract the following grade scores from the given text.,Lainnya
163,Write a function in Python that takes two arrays of the same size and performs elementwise addition.,Function
164,Design a Python program for verifying the two strings are rotations of each other?,Control Structure
165,Implement an algorithm to find a substring in a given string using a greedy approach in Python.,Data Type
166,Write a python script to remove all punctuations and whitespace in a string,Data Type
167,"Using the given input, write a Python program that prints the maximum number from the list.",Data Structure
168,Write a Python program that takes two numbers and swaps them without using an additional variable.,Lainnya
169,Write a Python program to edit a list given some criteria.,Data Structure
170,Develop a Python script to search for a specific element in a given list.,Data Structure
171,Create a program to print the following ASCII art using python.,Introduction Python
172,Create a program in Python that takes a list of strings and returns a new list with each string reversed.,Data Type
173,Generate a python code to sum the elements in the given array.,Data Structure
174,"Using the input provided, add a try/except block to the given Python code.",Operator
175,Generate a list of output values by multiplying the input values from two array in Python.,Data Structure
176,Write a Python program to generate a random name from a set of given names.,Data Structure
177,Create a Python program to print out a multiplication table. The table should print out the first 10 multiples of a given number.,Introduction Python
178,"Create a Python program that classifies a given sentence as positive, neutral, or negative.",Lainnya
179,Can you generate a sytax tree of a given Python statement?,Lainnya
180,Use a basic linear regression model in Python to predict the price of a house based on its size and number of rooms.,Introduction Python
181,Write a Python program to remove a specified item from an array.,Data Structure
182,Create a method in Python that takes two arguments and returns a specified error message if one of the two conditions is not met.,Control Structure
183,"Using the input provided, write a Python program to print the sum of the numbers in both lists.",Introduction Python
184,Hack a Python program to apply a filter to a list of numbers and output the numbers greater than 5.,Data Structure
185,Create a web scraper in Python that extracts the titles and summary from the reviews on a certain web page.,Lainnya
186,Create a program in Python to check for duplicate words in a given sentence.,Control Structure
187,Rewrite the code in Python so that it prints the length of a given string.,Data Type
188,Create a Python script that converts temperatures from Celsius to Fahrenheit.,Lainnya
189,Build a mini classifier model in Python to predict whether a given string is palindrome or not.,Data Type
190,Write a Python script to decrypt the given ciphertext.,Lainnya
191,Write a function in Python which takes a list of numbers as input and outputs a list with each element multiplied by two.,Data Structure
192,Create a function in Python that shuffles the order of the items in a list.,Data Structure
193,Create a Python program that updates the dictionary with the new key-value pair.,Operator
194,write a python code to print the common elements in between two given sets.,Introduction Python
195,Create a Python function that returns the index of the nth occurrence of a substring in a given string.,Data Type
196,Write a python program to find the sum of squares of all numbers in a set,Data Structure
197,Construct an algorithm in Python to identify whether a number is odd or even.,Lainnya
198,Design a Python program to implement a search engine that searches for a specific keyword in a given set of text documents.,Data Structure
199,Create a Python program to sort the values of a given dictionary in descending order based on their keys.,Lainnya
200,"Modify the given code in Python so that it prints the given sentence ""Hello, World!""",Lainnya
201,Create an HTML page that displays the output of this Python program.,Lainnya
202,Design an algorithm in Python for displaying the reverse of a string input.,Data Type
203,Create a python script to concatenate two given strings.,Lainnya
204,Suggest a completion for the following Python code to sort a given list of dictionaries by a given key.,Data Structure
205,Create a python program that takes a list of numbers and returns the sum of all the numbers in the list.,Data Structure
206,Suggest a change to the following loop to make it more Pythonic.,Lainnya
207,Write a python program that takes a list of numbers and converts them to strings.,Data Structure
208,"Write a Python function to classify a given string based on the following conditions:
A) If the length of the string is less than 3, “Short”
B) If the string only contains alphabets, “Alphabet”
C) If the string only contains numbers, “Numeral”",Data Type
209,"Write a Python function to take a text string as an input, and generate a table of the frequencies of each letter in the string.",Data Type
210,Can you provide a Python script to find the most frequent element in an array?,Data Structure
211,Develop a modularized Python code snippet to find the volume of a rectangular cube with side length 'a'.,Lainnya
212,"Create a python function to take a list of numbers as an argument, and return the sum of the odd numbers in the list",Data Structure
213,Develop a Python program to calculate the mean of a given array.,Data Structure
214,Write a Python program to find all palindromic words in a given list.,Data Structure
215,Create a Python program to group word frequencies from a given text.,Lainnya
216,Create a Python program to find all the strings in a list of strings that start with a given character.,Data Structure
217,Generate a Python function that takes in a list of numbers and returns the greatest common divisor (GCD) of the list elements.,Data Structure
218,Translate the following pseudocode into Python:,Lainnya
219,Optimize the provided Python code by reducing the number of operations.,Lainnya
220,Create a function that takes a list of strings (words or phrases) as an argument and returns the longest string in the list.,Data Type
221,Generate the following sequence using a while loop in Python.,Control Structure
222,Write a Python program using a for loop to sum up the even numbers in a given list.,Data Structure
223,Generate a python program to print the given sentence in reverse.,Introduction Python
224,Optimize a Python program containing a matrix addition operation.,Lainnya
225,Create a function in Python to find the total cost of a purchase given the price of each item and the quantity.,Function
226,Generate a Python program to clean a string of HTML tags.,Data Type
227,Write a Python program to check if an item exists in a list using a given condition.,Data Structure
228,Develop a program in Python to calculate the sum of the following series:,Lainnya
229,Generate a python program to filter a given array of numbers and remove all numbers greater than 5.,Data Structure
230,Compose a Python code snippet to check if the input list contains even numbers.,Data Structure
231,"Once you have generated a list of strings, write a Python program to print the same in reverse order.",Introduction Python
232,Classify text elements in a Python program into function names and variable names.,Function
233,Develop an efficient sorting technique in Python to arrange the following list of strings.,Data Structure
234,Write a Python program to convert a list of lists into a dictionary.,Data Structure
235,Write a Python script to identify the prime numbers in a list of integers.,Data Structure
236,Write a code to detect any pattern in a given string in Python.,Data Type
237,Write a Python algorithm to calculate a person's body mass index (BMI).,Lainnya
238,Write a Python code snippet which sorts a list by the values of the 2nd element of each tuple in the list.,Data Structure
239,Convert the following pseudocode into a python program.,Lainnya
240,Write a Python program to convert a string containing a number in base 8 to base 10.,Data Type
241,Convert the following Java program to Python.,Lainnya
242,Create a basic web scraper in Python using the requests library and the Beautiful Soup library. The web scraper should take a URL as an argument and print the text content of the page.,Introduction Python
243,Rearrange the following code so that it works in Python.,Lainnya
244,Write an optimization function for finding the minimum of a two-dimensional scalar field in Python.,Operator
245,"Create a Python program to validate user input. The program should take a string and only return ""valid"" if the string contains only the characters a-z, 0-9, and _ .",Operator
246,Write Python code to create a JSON object from a given list.,Data Structure
247,Create a python script to visualize the distribution of values in a numpy array,Data Structure
248,Create a command line tool in Python that takes a numerical input (e.g. from user input) and prints out all prime numbers up to that number.,Lainnya
249,Convert this python code to java code.,Lainnya
250,Edit the Python program below to add an if condition to determine if an input number is odd or even.,Control Structure
251,Create an implementation of the Quicksort algorithm in Python.,Lainnya
252,Solve this recursion problem in python.,Lainnya
253,Generate a Python program that will compare two strings and return 'True' or 'False'.,Function
254,Write a Python program to read a list of integers from the user and find the smallest number.,Data Structure
255,Design a program in Python that finds the maximum of two numbers.,Lainnya
256,Generate a Python program to extract the domain name from a given URL.,Lainnya
257,Write a Python program to convert a date string to the corresponding Unix timestamp.,Data Type
258,Write Python code to join two tables using a left join.,Lainnya
259,"Write a Python program to store a list of books in a dictionary. Each book should include title, author, and number of pages.",Data Structure
260,Create a Python script to compute the average of a list of elements,Data Structure
261,Coding a classifier in Python to classify a given data set into four categories,Data Structure
262,Optimize the given Python code to use list comprehension.,Data Structure
263,"Use pandas in Python to aggregate a given dataset with 4 columns (A, B, C, D) into a single column.",Lainnya
264,Write a function in Python that will take in a string and return the most commonly occurring character.,Data Type
265,Create a function in Python that will return the most frequent value in a dataset.,Function
266,Build a command line application in Python to flatten an array of elements.,Data Structure
267,Develop a python code to achieve the following goal,Lainnya
268,Convert the given string into a standard format in Python.,Data Type
269,Create a python program that detects if a number is even or odd.,Control Structure
270,Develop an algorithm in Python to replace all the vowels in a string with an asterisk.,Data Type
271,Write a Python program to implement the Bubble Sort algorithm and sort a given list of integers.,Data Structure
272,Implement a solution in Python to convert the given number to its binary representation.,Lainnya
273,Create a Python program to evaluate the expression 3x^2 + 4x - 2.,Lainnya
274,Build a Python program to tokenize a string into separate words.,Data Type
275,Write a Python program to print out the factorial of a number.,Introduction Python
276,Write a Python program to detect if an array contains any duplicate elements.,Data Structure
277,Convert the following Python function to Java.,Function
278,"Given a sentence, write a python program to return all the possible permutations of the words in the sentence.",Function
279,Rewrite the following python code using a lambda expression,Lainnya
280,Generate a complete Python script that prints out the prime numbers between two provided numbers.,Lainnya
281,Write a python program to evaluate the Euclidean distance between two lists of numbers,Lainnya
282,Create a Python algorithm that takes in an array of integers and prints out a sum of its elements.,Data Structure
283,Write a Python program to create a dictionary of the elements in a list and their frequency count.,Data Structure
284,"Using the sample data, convert the provided string into a dictionary in Python.",Data Type
285,Construct a for loop in Python to print all the values from a list of numbers.,Introduction Python
286,Optimize a function written in Python that calculates the mean of a given sequence of numbers,Function
287,Write a Python script for combining two dictionaries.,Control Structure
288,Create a python script that compares two sets of input data (lists of numbers) and outputs the intersection set.,Data Structure
289,Write a python program to generate a Combinations of four numbers from a given list of N numbers,Data Structure
290,"Write a python program to count the total number of ""1""s present in a binary string",Data Type
291,Design a function in Python to sort the given list of numbers in descending order.,Data Structure
292,Generate a python program to search input string s for a given substring t.,Data Type
293,Create a Python function to take two lists and return a list with the elements added together.,Data Structure
294,Produce a Python script to remove duplicate values from a list.,Data Structure
295,Modify the following Python code to generate more random numbers.,Lainnya
296,De-duplicate the given list using a dictionary in Python?,Operator
297,Write a Python program to convert a given binary number to a decimal number.,Lainnya
298,Develop a Python program to calculate the total area of a group of rectangles.,Lainnya
299,Write a python method to identify whether the given string is a palindrome.,Data Type
300,Write a code to generate a two-dimensional array with zeros shapes in Python,Operator
301,"Using regex, extend the following python code to remove whitespaces from a string.",Data Type
302,Write a Python program to find the n-th smallest number in the following list,Operator
303,Create a Python list comprehension to find the sum of even numbers from two given lists.,Data Structure
304,Edit the following Python program to make a correct API request and parse the response.,Lainnya
305,Optimize a given Python program using memoization.,Lainnya
306,Write a Python program to convert a given binary form to its original string.,Data Type
307,Modify the existing Python code to generate a Fibonacci series.,Lainnya
308,Create a function in Python that takes a string and an integer as arguments and returns the string with the integer number of characters removed from the front of the string.,Data Type
309,Convert the given code from C++ to a Python program,Lainnya
310,Design a program to find the nth term of the Fibonacci sequence for a given number n.,Control Structure
311,Build a Python program that takes two numbers as inputs and prints the summation of both numbers.,Lainnya
312,Create an auto-complete suggestion engine that takes in a prefix string and returns a set of valid words.,Operator
313,Write a Python program to determine whether or not a given string is a palindrome.,Data Type
314,Write a Python program to count the number of digits in an integer.,Lainnya
315,Implement an algorithm in Python to remove duplicate elements from a given list.,Data Structure
316,Create a Python program to reverse a list without using the reverse() method.,Data Structure
317,Write a Python program to divide two numbers and print the quotient and the remainder.,Introduction Python
318,Develop a program to print all unique strings from a given array of strings,Introduction Python
319,Convert the following selection sort algorithm into a Python code.,Lainnya
320,Convert a list of numbers into strings using Python.,Data Structure
321,Create an algorithm in Python that takes an array of integers and `finds the pair that equals the given target.,Data Structure
322,Write a Python program to encrypt a plaintext using Advanced Encryption Standard (AES).,Lainnya
323,Generate a program in Python to find the median of a list of numbers.,Data Structure
324,Rewrite the following Java program in Python to calculate the area of the triangle.,Lainnya
325,"Create a Python program to calculate the cost of an order given the items ordered, the tax rate and the shipping cost.",Lainnya
326,Create a function in Python that takes two numbers as input and returns a dictionary with all the prime numbers between them.,Function
327,Implement a Python function to find the smallest element in an array,Data Structure
328,"Given an array of strings, write a program in Python to calculate the number of occurrences for each string.",Data Type
329,Write a Python program to print the following string pattern.,Introduction Python
330,Construct an algorithm in Python to compute the maximum profit from selling a stock within a specific period of days.,Lainnya
331,Write a Python program to convert a given string to one of its equivalent shell script command,Data Type
332,Rewrite a given code snippet in Python using a list comprehension.,Data Structure
333,Create a python program that takes in a list of strings and returns a list of strings with all duplicates removed.,Data Structure
334,Convert the following function from Python to Java.,Function
335,Create a Python program to search a string and print the index of all instances of a specific character.,Introduction Python
336,Suggest a Python version of the following JavaScript code.,Lainnya
337,Write a function in Python to compute the nth Fibonacci number.,Function
338,Create a script in Python to convert a given integer to its binary equivalent.,Lainnya
339,Design a hash table in Python that can store a given key-value pair.,Operator
340,Identify a type of all the variables in the Python expression below.,Data Type
341,Generate a python algorithm to predict the stock price for the given company.,Control Structure
342,"Write a python program that takes in two strings, s1 and s2, and returns a Boolean based on if s1 is a substring of s2.",Control Structure
343,Optimize and refactor an existing Python function.,Function
344,"Write a Python program to check whether a given string starts with ""Hello"".",Data Type
345,Develop a Python code to print a string in reverse order.,Introduction Python
346,"Create a program in Python that given a list of integer inputs, sorts them in descending order.",Data Structure
347,Build a Python script for searching a given element in an array.,Data Structure
348,Generate a Python script that takes two numbers as arguments and returns the greatest common divisor.,Lainnya
349,Optimize this code in Python to increase its performance.,Lainnya
350,Write a Python program to print all combinations of three numbers from the given list.,Introduction Python
351,Implement a simple python program to split a string on a punctuation symbol.,Data Type
352,Write a python program that implements the following function:,Function
353,Write the following into python code,Lainnya
354,Write a Python program to accept a string input from the user and print each character in a list.,Introduction Python
355,Create a function in Python that takes in an array of integers and returns the odd numbers from that array.,Data Structure
356,Create a program in Python to sort a list of tuples (words and their frequency) in descending order.,Data Structure
357,"Construct a Python function to filter out all the words from a list that contains the letter ""a"".",Data Structure
358,Create a Python program that calculates the sum of the digits of a European Union VAT number.,Lainnya
359,Write a Python snippet to print the difference between the largest and smallest values in a given array.,Introduction Python
360,"Develop a function in Python that takes a list of integers, computes the cumulative sum, and prints the result.",Data Structure
361,"Generate code in Python to accept student information like name, age, course and print it.",Introduction Python
362,Write a Python program to implement a given sorting algorithm,Lainnya
363,Automate this Excel task using Python.,Lainnya
364,Write a Python program that will replace all the numbers greater than 5 in an array with 0.,Data Structure
365,Write a function in python for finding a substring of a given string,Data Type
366,"Create a Python program to grade a multiple choice test with 4 options for each question, and each correct answer is worth 3 points.",Control Structure
367,Write a Python program to print even numbers from 0 to the number provided,Introduction Python
368,Write an IPv4 address verification function in Python.,Function
369,"Write a python script to calculate the sum of an array of integers, ignoring any negative numbers.",Data Structure
370,Create an algorithm in Python that prints a multiplication table.,Lainnya
371,Create a list comprehension expression for adding two lists in Python.,Data Structure
372,Rewrite the code snippet below in Python so that it takes advantage of list comprehension.,Data Structure
373,"Write a Python program to print a Fibonacci sequence with a length of n, where n is a given number that is equal to or greater than 0.",Introduction Python
374,Develop a Python algorithm to find the maximum element in a given array.,Data Structure
375,Design a python program to create a new pair of integers from a given pair,Lainnya
376,Create a web scraper in Python to scrape the content from a website,Lainnya
377,"Convert the following code from Java to Python:

public class HelloWorld {
 public static void main(String[] args) {
 System.out.println(""Hello World"");
 }
}",Introduction Python
378,Develop a Python program which takes two inputs and returns the minimum number that is evenly divisible by both numbers.,Lainnya
379,Create a Python program to compress a given data sequence.,Lainnya
380,Create a code to calculate the area of the triangle with given side lengths.,Lainnya
381,"Input an array of numbers, and build a function in Python to replace all even numbers with 0.",Data Structure
382,Optimize the following python code for a more efficient solution.,Control Structure
383,Create a Python program to identify the most frequently occurring item in a list.,Data Structure
384,Create a program in Python to generate prime numbers between 1 to N,Lainnya
385,Create a Python script that takes an input of two numbers and returns the pair in a list.,Data Structure
386,Create a function to perform list sorting using Python.,Data Structure
387,Write a Python program to split a string on any whitespace.,Data Type
388,Write a Python program to match a given pattern in a given string.,Data Type
389,Write a Python program to filter out strings longer than 15 characters from a list of strings.,Data Structure
390,Write a python script to segregate a list of numbers into lists odd and even numbers.,Data Structure
391,Write a Python program that prints all unique pairs that sum up to a given number.,Lainnya
392,Edit the python code below to increase efficiency.,Lainnya
393,Write a Python script that finds the minimum sum of an array of integers.,Data Structure
394,Design a program in Python to traverse a matrix.,Lainnya
395,Create a Python program to find the minimum number of steps required to make all array elements equal.,Data Structure
396,Modify an existing python script to count the number of words in a given sentence.,Lainnya
397,Create a Python program to multiply a matrix by its inverse.,Lainnya
398,Create a function in Python which takes a user input and sorts it in ascending order.,Function
399,Write a Python program to search a list of strings for a given string.,Data Type
400,Write a python code to replace all the occurences of an element in a list with a given number.,Data Structure
401,Write a Python program to detect whether a given number is a palindrome.,Lainnya
402,Create a Python script that takes a string as an input and outputs a list of words that all contain at least one vowel.,Data Type
403,Create a python code to find the intersection of two sets.,Lainnya
404,How can you make the given Python code more efficient?,Lainnya
405,Create a function in Python that takes a list of strings and for each string appends the first letter to the end of the string.,Data Type
406,"Write a Python program to find the number of different ways to express n as the sum of 1, 3 and 4.",Lainnya
407,Design a program in Python to filter a given array of integers and output only the even numbers.,Data Structure
408,Identify the bug in the following Python program and suggest an appropriate fix.,Lainnya
409,Write a Python program to filter out the words of length greater than 5 from a given list of words,Data Structure
410,Construct a program to sort a given list in Python.,Data Structure
411,Create a python program which takes in a given list and finds the 3 most frequent elements in the list.,Data Structure
412,Write a python function which will check if input string is palindrome or not.,Data Type
413,Modify a Python program to add a minimum value of 10 to each element in a list.,Data Structure
414,Compose python code that efficiently resolves the specified task:,Lainnya
415,Edit an existing Python code so that it is more efficient and optimized for run time.,Control Structure
416,Create a code snippet in Java to parse a comma-separated string into a list of strings.,Operator
417,Develop a process in Python to classify a set of data points into two categories.,Data Structure
418,Write a script to measure temperature from a device using python,Lainnya
419,Create a program in Python to count the number of time a particular character appears in a given string.,Data Type
420,"Given a number, write a Python program to print the multiplication table of that number.",Introduction Python
421,Modify the following Python code to remove the duplicate elements from the list,Data Structure
422,Generate a CPython code for reversing a given list of numbers.,Data Structure
423,Create a program in Python to sort a given list of words alphabetically,Data Structure
424,Write a Python program to find the common elements between two given lists.,Lainnya
425,Generate a list of prime numbers up to a given number using a Python program.,Data Structure
426,Generate a Python program for reversing a string.,Data Type
