Instruction,Input,Output,materi,question_id
Write a function in Python that takes an array of integers and its size as parameters and returns the maximum value in the array.,"arr = [1, 6, 8, 4, 9, 6, 10]
n = len(arr)","def findMax(arr, n):
 # Initializing max with first element of array
 max = arr[0]

 # Starting loop from second element
 for i in range(1, n):
 # Comparing max with remaining elements of array
 if arr[i] > max:
 max = arr[i]

 # Returning maximum
 return max",Data Structure,28
Create a program in Python to convert an array of integers to an array of binary numbers.,"[2,4,7]","def int_to_bin(arr):
   binary = []
   for num in arr:
       binary.append(bin(num))
   return binary

arr = [2,4,7]
bin_arr = int_to_bin(arr)
print(bin_arr)",Data Structure,29
Generate a function in Python to filter a given list and keep only the numeric items in the list.,"input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8]","def filter_numeric(input_list): 
    
    num_list = [] 
  
    for item in input_list:
        if type(item) == int or type(item) == float: 
            num_list.append(item) 
   
    return num_list 
  
input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8] 
print(filter_numeric(input_list)) 
#Output: [4, 2, 1, 15.6, 5.8]",Data Structure,30
Create an algorithm to determine if two strings have the same character set in Python.,"Strings: ""paris"" and ""sapir""","def same_charset(str1, str2):
	
	str1 = sorted(str1) 
	str2 = sorted(str2)
 
	if(str1 == str2):
		return True
	else:
		return False",Data Structure,31
Design a Python script to nested loop iterate the following list of lists.,"arr = [['a', 'b', 'c'], ['d', 'e', 'f'], ['g', 'h', 'i']]","for outer in arr:
   for inner in outer:
       print(inner)",Data Structure,33
Write a function in Python that computes the average of all numbers in a given list.,"numbers = [4, 8, 6, 2, 10]","def compute_average(numbers):
  total = 0
  for num in numbers:
    total += num
  return total / len(numbers)

average = compute_average(numbers)
print(average)  # Outputs 6",Data Structure,36
Create a Python program to multiply all of the values in a given list,"[2, 3, 4]","def multiply_list(lst):
    result = 1
    for i in lst:
        result *= i
    return result",Data Structure,38
Write a python program to reverses a list while preserving the order of the elements,"lst = [1,2,3,4,5]","lst.reverse()
print(lst)  #output: [5,4,3,2,1]",Data Structure,43
Create an algorithm using Python to find the largest number in a list.,"[8, 5, 10, 3]","def find_largest_number(numbers):
    # Finds the largest number from the given list
    largest = 0
    for num in numbers:
        if num > largest:
            largest = num
    return largest
 
numbers = [8, 5, 10, 3]
largest = find_largest_number(numbers)
print(largest)",Data Structure,44
Create a program in Python to sort a given unsorted list.,"[5, 4, 1, 8, 9, 2]","def sortList(lst): 
    lst.sort() 
    return lst
  
ar_list = [5, 4, 1, 8, 9, 2]
result = sortList(ar_list) 
  
print(result)",Data Structure,48
Calculate the average grade of a student given a list of their grades in Python.,"grades = [90, 85, 80, 75, 70]","def calculate_average_grade(grades): 
 total = 0
 for grade in grades: 
 total += grade 
 avg_grade = total / len(grades) 
 return avg_grade 

grades = [90, 85, 80, 75, 70] 
avg_grade = calculate_average_grade(grades) 
print('Average Grade: ', avg_grade) # Output: Average Grade: 80.0",Data Structure,49
Design a sorting algorithm in Python that will sort a given array of numbers in ascending order.,"[5, 9, 4, 2, 6]","def sort(nums):
    for i in range(len(nums)):
        min_ind = i
        for j in range(i+1, len(nums)):
            if nums[j] < nums[min_ind]:
                min_ind = j
        nums[i], nums[min_ind] = nums[min_ind], nums[i]
    return nums",Data Structure,53
Generate a Python program to copy all elements of one list into another list.,"source = [0, 1, 2]","source = [0, 1, 2]
 
dest = []
 
for item in source:
    dest.append(item)
    
print(dest)",Data Structure,62
Create a Python program that takes in a list and returns a new list. The program should subtract 10 from every element in the list.,"list = [1,2,3,4,5]","def subtractFromList(list): 
 return [x - 10 for x in list]",Data Structure,66
Create a python code that takes in a sentence and returns a list containing the length of each word.,"sentence = ""Hello I am a sentence""",sentence_lengths = [len(word) for word in sentence.split()],Data Structure,67
Write a Python program to implement Linear Search for an array of numbers,"arr = [2, 3, 5, 7, 11]
n = 11","def LinearSearch(arr, n):
 for i in range(len(arr)):
 if arr[i] == n:
 return i
 return -1

index = LinearSearch(arr, n)
print(index)",Data Structure,68
Create a function in Python that takes two parameters: a list of numbers and a number called ‘n’ and returns the last n numbers in the list.,"myList = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
n = 3","def last_n_numbers(myList, n):
  return myList[-n:]
  
res = last_n_numbers(myList, n)
print(res) 

# Output
[8, 9, 10]",Data Structure,70
Create a function that computes an array of odd numbers within a given range,an integer n,"# Python3 program to find odd numbers in a range  

def odd_numbers(n): 
    odd_numbers = [] 
      
    # looping through each number 
    for i in range(1, n + 1): 
        if i % 2 != 0: 
            odd_numbers.append(i) 
    return odd_numbers",Data Structure,74
Implement a search algorithm in Python to look for the value in the list.,"list_tmp = [1, 23, 42, 5, 7, 34, 89]
value = 42","def search(list_tmp, value): 
    for index, item in enumerate(list_tmp): 
        if item == value: 
            return index 

    return -1",Data Structure,75
Write a Python program to create a function that receives a list of strings and returns a new list with the strings sorted according to their length.,"[""Python"", ""is"", ""a"", ""programming"", ""language""]","def sort_list_by_length(list_of_strings):
    return sorted(list_of_strings, key=len) 

list_of_strings = [""Python"", ""is"", ""a"", ""programming"", ""language""]
sorted_list = sort_list_by_length(list_of_strings) 

print(sorted_list)",Data Structure,82
Create a Python program to find the intersection of two given array. The intersected elements should be the elements present in both the arrays.,"Array 1: [3, 5, 2, 8, 1], Array 2: [5, 8, 9, 7]","def intersection(array_1, array_2): 
    result = [] 
    for num in array_1: 
        if num in array_2: 
            result.append(num) 
    return result",Data Structure,86
Generate a Python function that takes an array of elements and finds the frequency of each element,"[1,4,1,4,4,4,9,7]","def count_frequency(l):
    frequencies = {}
    for i in l:
        if i in frequencies:
            frequencies[i] += 1
        else:
            frequencies[i] = 1
    return frequencies

l = [1,4,1,4,4,4,9,7]
print(count_frequency(l))",Data Structure,87
Design a function in Python for filtering out unique elements in a list.,"list = [1, 2, 2, 3, 3, 4]","def filter_list(list): 
  filtered_list = [] 

  for i in list: 
    if i not in filtered_list: 
      filtered_list.append(i) 
  
  return filtered_list",Data Structure,89
Write a function in Python for sorting a list of objects by an attribute 'name'.,"list_of_objects = [{""name"": ""John"", ""age"": 35}, {""name"": ""Liz"", ""age"": 25}, {""name"": ""Max"", ""age"": 28}]","def sort_by_name(lst): 
    return sorted(lst, key=lambda item: item[""name""])",Data Structure,91
Create a Python function that sorts a list of strings alphabetically,"[‘apple’,’orange’,’pear’]","def sort_strings(list_of_strings):
    sorted_list = sorted(list_of_strings, key=lambda str: str.lower())
    return sorted_list

result = sort_strings(['apple', 'orange', 'pear'])
print(result)",Data Structure,92
Write code in Python to calculate the mean for a given list of numbers.,"[4, 17, 12, 78, 43, 13, 94, 77]","import numpy as np 

# given list of numbers 
list = [4, 17, 12, 78, 43, 13, 94, 77] 

# calculating mean 
mean = np.mean(list) 

# printing mean 
print(""Mean:"", mean)",Data Structure,95
Create a Python function that takes a positive integer as input and returns a list of its prime factors.,The number 12.,"def prime_factors(number):
 prime_factors = []
 i = 2
 while number > 1:
  if number % i == 0:
   prime_factors.append(i)
   number //= i
  else:
   i += 1
 return prime_factors

print(prime_factors(12))
# [2, 2, 3]",Data Structure,97
"Write a Python program to keep track of an array of prices, and output the maximum and minimum price in the array.","[20, 40, 60, 5]","prices = [20, 40, 60, 5]

max_price = max(prices)
min_price = min(prices)

print('Max price is: ' + str(max_price))
print('Min price is: ' + str(min_price))",Data Structure,98
"Given a Python list, create a new list of all items in the first list that are not in the second list.","first_list = [1, 2, 3, 4, 5]
second_list = [3, 4]","first_list = [1, 2, 3, 4, 5]
second_list = [3, 4]

new_list = []

for item in first_list:
    if item not in second_list:
        new_list.append(item)
        
print(new_list) # [1, 2, 5]",Data Structure,100
"Given a list of numbers, write a Python program to calculate the median.","[3, 4, 5, 9, 12, 15]","def median(nums):
    nums.sort()
    n = len(nums)
    if n % 2 == 0:
        return (nums[n//2] + nums[(n//2) - 1]) / 2
    return nums[n//2]

nums = [3, 4, 5, 9, 12, 15]
print(median(nums))",Data Structure,102
Write a Python program for computing the sum of a given array of integers.,"[1, 2, 3, 4, 5]","def compute_sum(int_arry):
    sum = 0
    # loop through each element in the array
    for i in int_arry:
        sum += i
    return sum

# example testing code
int_arry = [1, 2, 3, 4, 5]
total_sum = compute_sum(int_arry)

print(""Sum of array elements is"", total_sum)",Data Structure,111
Write a Python program to take a list of words and create a dictionary with the words as keys and the frequency of each word as the values.,"words = ['a', 'b', 'a', 'c', 'b', 'a', 'd']","words_dict = {}
for word in words:
    if word in words_dict:
        words_dict[word] += 1
    else:
        words_dict[word] = 1

print(words_dict)

# Output
# {'a': 3, 'b': 2, 'c': 1, 'd': 1}",Data Structure,113
"In Python, write a script to sort the list items in descending order.","list_items = [3, 7, 5, 8, 10]","list_items = [3, 7, 5, 8, 10]

list_items.sort(reverse=True)

print(list_items) # Output: [10, 8, 7, 5, 3]",Data Structure,116
Write a Python program to sort a list of dictionaries by a key in each dictionary.,"my_list = [{'name': 'Tom', 'age': 25}, {'name': 'John', 'age': 21}, {'name': 'Adam', 'age': 26}]","def sort_list_of_dicts_by_key(my_list, key):
    return sorted(my_list, key=lambda k: k[key])",Data Structure,120
"Create a Python script that takes a sentence as an input, separates all the words into a list and prints them in alphabetical order.",This is an example sentence,"input_sentence = ""This is an example sentence""
words = input_sentence.split()
words.sort()

print(words) # ['an', 'example', 'is', 'sentence', 'This']",Data Structure,121
"Generate a function in Python which takes an array as an argument and returns an array of length two, with the first element being the maximum value and the second element being the minimum value of the array.","[1, 5, 7, 3, 9]","def minmax(array):
  max_val = max(array)
  min_val = min(array)
  return [max_val, min_val]",Data Structure,122
Write a python script that takes a list of numbers from 1 to 8  and prints its cubic values.,"[1, 2, 3, 4, 5, 6, 7, 8]","list_numbers = [1, 2, 3, 4, 5, 6, 7, 8]

for num in list_numbers:
    print(num**3)",Data Structure,129
Generate a Python program using a list comprehension that takes a 2D list of integers and computes the sum of integers at each row.,"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","total_row_sum = [sum(row) for row in [[1, 2, 3], [4, 5, 6], [7, 8, 9]]]

print(total_row_sum)",Data Structure,131
Create a Python program to copy elements of one array into another array.,"Array 1=[1,2,3,4]","array_1 = [1,2,3,4] 
array_2 = [] 
  
# Copying all the elements 
for i in range(0, len(array_1)): 
    array_2.append(array_1[i]) 
     
print (""Elements Copied from the Array1 to Array2 are : "" + str(array_2))",Data Structure,136
Generate Python code to get the maximum element in a list.,"List of integers [7, 2, 3, 6, 5]","list = [7, 2, 3, 6, 5]
print(""Max element is:"", max(list))",Data Structure,152
Create a Python program that will take a list of numbers and identify if any of the numbers are multiples of three.,"numbers = [2, 7, 8, 15, 24]","for number in numbers:
 if number % 3 == 0:
  print(f'{number} is a multiple of 3')
 else:
  print(f'{number} is not a multiple of 3')

# Output:
# 2 is not a multiple of 3
# 7 is not a multiple of 3
# 8 is not a multiple of 3
# 15 is a multiple of 3
# 24 is a multiple of 3",Data Structure,153
Generate a list of fibonacci numbers using iterative function in Python.,n=10,"def generate_fibonacci_numbers(n):
    # Initialize variables
    a = 0
    b = 1

    # Iterate and calculate fibonacci numbers
    fib_list = [a]
    for i in range(1, n):
        c = a + b
        fib_list.append(c)
        a = b
        b = c
    return fib_list
    
if __name__ == '__main__':
    print(generate_fibonacci_numbers(10))",Data Structure,154
Convert a given list into a list of tuples using Python.,"list = [1, 2, 3, 4, 5]","def listToTuple(list):
 tupleList = []
 for element in list:
  tupleList.append((element,))
 return tupleList

print(listToTuple(list))",Data Structure,156
"Using the given input, write a Python program that prints the maximum number from the list.","[1, 5, 8, 3, 10]","mylist = [1, 5, 8, 3, 10]

print(max(mylist))",Data Structure,167
Write a Python program to edit a list given some criteria.,"list = [5, 6, 2, 8, 11]
criteria = lambda x: x % 2 == 0","def edit_list(list, criteria):
    return [x for x in list if criteria(x) == True]",Data Structure,169
Develop a Python script to search for a specific element in a given list.,"arr = [2, 3, 4, 5, 6, 7]
x = 5","def search_element(arr, x):
    for i in range(len(arr)):
        if arr[i] == x:
            return i 

    return -1",Data Structure,170
Generate a python code to sum the elements in the given array.,"arr = [1, 2, 3, 4, 5]","def sum_array(arr):
    total = 0
    for num in arr:
        total += num
    return total

sum_array(arr)",Data Structure,173
Generate a list of output values by multiplying the input values from two array in Python.,"[1, 2, 3] and [4, 5, 6]","array1 = [1, 2, 3]
array2 = [4, 5, 6]

output = [val1 * val2 for val1, val2 in zip(array1, array2)] 
print(output)

# Output 
[4, 10, 18]",Data Structure,175
Write a Python program to generate a random name from a set of given names.,"['John', 'Andy', 'Alex', 'Paul', 'Pippa']","import random

names = [""John"", ""Andy"", ""Alex"", ""Paul"", ""Pippa""]

def getRandomName(names):
    randomIndex = random.randint(0, len(names)-1) 
    return names[randomIndex]

if __name__ == '__main__':
    print(getRandomName(names))",Data Structure,176
Write a Python program to remove a specified item from an array.,"arr = [1,2,3,4]","def remove_item(arr, item):
    return [i for i in arr if i != item]

arr = [1,2,3,4]
new_arr = remove_item(arr, 3)
print(new_arr)",Data Structure,181
Hack a Python program to apply a filter to a list of numbers and output the numbers greater than 5.,"List of numbers: [1, 5, 6, 3, 8]","numbers = [1, 5, 6, 3, 8]

filtered_numbers = []

for number in numbers:
  if number > 5:
    filtered_numbers.append(number)

print(filtered_numbers) # output: [6, 8]",Data Structure,184
Write a function in Python which takes a list of numbers as input and outputs a list with each element multiplied by two.,"[3, 5, 8, 9]","def list_multiplication(nums):
    output_list = []
    for i in range(len(nums)):
        output_list.append(nums[i] * 2)
    return output_list",Data Structure,191
Create a function in Python that shuffles the order of the items in a list.,"[1,2,3,4,5]","import random 
  
def shuffle_list(arr): 
      
    # Shuffle given list 
    random.shuffle(arr) 
    return arr 
  
# Driver function 
arr = [1,2,3,4,5]

print(""Initial list: \n"",arr)
print(""\nFinal list: \n"",shuffle_list(arr))",Data Structure,192
Write a python program to find the sum of squares of all numbers in a set,"Set: {1, 2, 3}","def sum_squares(s):
    total = 0
    for x in s:
        total += x * x
    return total",Data Structure,196
Design a Python program to implement a search engine that searches for a specific keyword in a given set of text documents.,"[text documents, keyword]","def search_engine(documents, keyword):
    # Create an index of the documents
    index = create_index(documents)
    # Search the index for the keyword
    search_result = search(index, keyword)
    # Return the search result
    return search_result",Data Structure,198
Suggest a completion for the following Python code to sort a given list of dictionaries by a given key.,"my_list = [{'name': 'Bob', 'age': 20}, {'name': 'Alice', 'age': 10}]","def sort_dicts(my_list, key):
    return sorted(my_list, key=lambda x: x[key])

# Main
if __name__ == ""__main__"":
    my_list = [{'name': 'Bob', 'age': 20}, {'name': 'Alice', 'age': 10}]
    key = 'age'
    print(sort_dicts(my_list, key))  # [{'name': 'Alice', 'age': 10}, {'name': 'Bob', 'age': 20}]",Data Structure,204
Create a python program that takes a list of numbers and returns the sum of all the numbers in the list.,"[1, 2, 3, 4, 5]","def sum_list(list_of_numbers):
  total = 0
  for num in list_of_numbers:
    total += num
  return total
  
# Main
nums = [1, 2, 3, 4, 5]
total_sum = sum_list(nums)

print('Sum of list elements: ', total_sum)",Data Structure,205
Write a python program that takes a list of numbers and converts them to strings.,"[1, 2, 3, 4]","new_list = []
for i in range(0, len(list)):
    new_list.append(str(list[i]))",Data Structure,207
Can you provide a Python script to find the most frequent element in an array?,"[1, 1, 2, 3, 2, 4, 4]","from collections import Counter

def most_frequent(arr):
    cnt = Counter(arr)
    return cnt.most_common(1)[0][0]

arr = [1, 1, 2, 3, 2, 4, 4]
most_frequent_elem = most_frequent(arr)
print(most_frequent_elem)",Data Structure,210
"Create a python function to take a list of numbers as an argument, and return the sum of the odd numbers in the list","[2, 3, 4, 5, 6, 7]","def odd_numbers(numbers):
    result = 0 
    for num in numbers: 
        if num % 2 != 0:
            result += num
    return result",Data Structure,212
Develop a Python program to calculate the mean of a given array.,"60, 54, 77, 78, 37, 35","def mean(arr):
    total = 0
    for num in arr:
        total += num
    return total/len(arr)

arr = [60, 54, 77, 78, 37, 35]
print(""Mean: "", mean(arr))",Data Structure,213
Write a Python program to find all palindromic words in a given list.,"words = [""word"", ""racecar"", ""level"", ""pop"", ""mom"", ""nursesrun""]","def palindrome_words(words): 
    """"""This function takes in a list of words and returns a list of palindromic words""""""

    palindrome_words = []

    for word in words:
        if word == word[::-1]:
            palindrome_words.append(word)

    return palindrome_words",Data Structure,214
Create a Python program to find all the strings in a list of strings that start with a given character.,"[""apple"", ""banana"", ""kiwi"", ""melon""], ""a""","def get_strings_with_prefix(strings, letter):
    result = []

    for string in strings:
        if string.startswith(letter):
            result.append(string)
    return result

data = [""apple"", ""banana"", ""kiwi"", ""melon""]

result = get_strings_with_prefix(data, ""a"")
print(result)",Data Structure,216
Generate a Python function that takes in a list of numbers and returns the greatest common divisor (GCD) of the list elements.,"[25, 15, 20]","def find_GCD(input_list): 
 gcd = input_list[0] 
 for num in input_list[1:]: 
 gcd = find_GCD(gcd, num) 
 return gcd

def find_GCD(a, b):
 while(b != 0): 
 a, b = b, a%b 
 return a",Data Structure,217
Write a Python program using a for loop to sum up the even numbers in a given list.,"number_list = [2, 3, 5, 7, 11, 13, 17]","total = 0
for number in number_list:
 if number % 2 == 0:
 total += number
print(total) # prints 2 + 6 = 8",Data Structure,222
Write a Python program to check if an item exists in a list using a given condition.,"list = [1, 2, 3, 4]
condition = lambda x: x % 2 == 0","def check_item(lst, condition): 
	for item in lst:
 		if condition(item): 
 			return True 
	return False

result = check_item([1, 2, 3, 4], lambda x : x % 2 == 0) 
print(result)",Data Structure,227
Generate a python program to filter a given array of numbers and remove all numbers greater than 5.,"[3, 4, 6, 1, 8, 9]","def filter_greater_than_5(arr):
    new_arr = []
    for x in arr:
        if x <= 5:
            new_arr.append(x)
    return new_arr

arr = [3, 4, 6, 1, 8, 9]
print(filter_greater_than_5(arr))",Data Structure,229
Compose a Python code snippet to check if the input list contains even numbers.,"[2, 3, 4, 5, 6]","def isEvenNumberPresent(list):
    for item in list:
        if item % 2 == 0:
            return True
    return False

print(isEvenNumberPresent([2, 3, 4, 5, 6]))",Data Structure,230
Develop an efficient sorting technique in Python to arrange the following list of strings.,"L1= [""This"", ""is"", ""a"", ""list"", ""of"", ""strings""]","def sort_list(L1):
    L1.sort()
    return L1",Data Structure,233
Write a Python program to convert a list of lists into a dictionary.,"list = [[1, 'a', 'A'], [2, 'b', 'B'], [3, 'c', 'C'], [4, 'd', 'D']]",dictionary = dict(list),Data Structure,234
Write a Python script to identify the prime numbers in a list of integers.,"list of integers: [2, 4, 7, 11, 13]","def is_prime(num): 
    if num > 1: 
       for i in range(2,num): 
           if (num % i) == 0: 
               return False 
       else: 
           return True
    else: 
       return False

numbers = [2, 4, 7, 11, 13]   
for num in numbers: 
    if is_prime(num): 
        print(num)",Data Structure,235
Write a Python code snippet which sorts a list by the values of the 2nd element of each tuple in the list.,"[(1, 2), (3, 1), (2, 3)]","unsorted_list = [(1, 2), (3, 1), (2, 3)]

def take_second(el):
     return el[1]

# sorting list 
# the second elements of tuples 
sorted_list = sorted(unsorted_list, key = take_second) 

# printing sorted list 
print(sorted_list)",Data Structure,238
Write Python code to create a JSON object from a given list.,"data = [1, 2, 3, 4, 5]","import json

data = [1, 2, 3, 4, 5]

data_json = json.dumps(data)

print(data_json)",Data Structure,246
Create a python script to visualize the distribution of values in a numpy array,"numpy array [1, 2, 3, 4, 5, 6]","import matplotlib.pyplot as plt
import numpy as np
 
arr = np.array([1,2,3,4,5,6])
 
plt.hist(arr)
plt.title(""Distribution of values in the given array"")
plt.show()",Data Structure,247
Write a Python program to read a list of integers from the user and find the smallest number.,"[12, 11, 7, 15]","list_of_numbers = input(""Please enter a list of numbers: "").split()
list_of_numbers = [int(x) for x in list_of_numbers] 

min_number = min(list_of_numbers)
print(""The smallest number is:"", min_number)",Data Structure,254
"Write a Python program to store a list of books in a dictionary. Each book should include title, author, and number of pages.","['The Hobbit', 'J.R.R. Tolkien', 295], ['The Catcher in the Rye', 'J.D. Salinger', 223]","book_list = [
  {'title': 'The Hobbit', 'author': 'J.R.R. Tolkien', 'pages': 295},
  {'title': 'The Catcher in the Rye', 'author': 'J.D. Salinger', 'pages': 223},
]",Data Structure,259
Create a Python script to compute the average of a list of elements,"[1,4,7,3]","def average(l):
    total = 0
    for element in l:
        total += element
    return total / len(l)

l = [1,4,7,3]

print(average(l))",Data Structure,260
Coding a classifier in Python to classify a given data set into four categories,Data set of 20 records with 4 numerical features,"import numpy as np
from sklearn.svm import SVC

# X represents the 20 records with 4 numerical features
X = np.array([[], [], [], ..., []])
# y represents the 4 categories 
y = np.array([1, 2, 3, 4])

# Create a svm classifier with linear kernel
classifier = SVC(kernel='linear', random_state=0)

# Fit the data
classifier.fit(X, y)",Data Structure,261
Optimize the given Python code to use list comprehension.,"my_list = []
for value in range(10):
 my_list.append(value * 2)",my_list = [value * 2 for value in range(10)],Data Structure,262
Build a command line application in Python to flatten an array of elements.,"arr = [1, [], [2, [[3], [4, 2]], 5, [[[[[[[[[[]]]]]]]]]]]","def flatten(arr):
    result = []
 
    for item in arr:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
 
    return result
 
flattenedArr = flatten(arr)
print(flattenedArr)",Data Structure,266
Write a Python program to implement the Bubble Sort algorithm and sort a given list of integers.,"list = [4, 9, 5, 2, 7, 1]","def bubble_sort(list):
    is_sorted = False
    while not is_sorted:
        is_sorted = True
        for i in range(len(list)-1):
            if (list[i] > list[i+1]):
                list[i], list[i+1] = list[i+1], list[i]
                is_sorted = False
    return list",Data Structure,271
Write a Python program to detect if an array contains any duplicate elements.,"[3, 5, 8, 1, 2, 3]","def check_duplicates(arr):
    seen = set()
    
    for element in arr:
        if element in seen:
            return True
        else:
            seen.add(element)
    return False

arr = [3, 5, 8, 1, 2, 3]
result = check_duplicates(arr)
print(result)",Data Structure,276
Create a Python algorithm that takes in an array of integers and prints out a sum of its elements.,"[3, 4, 5, 6]","def sum_array(arr):
    s = 0
    for i in arr:
        s += i
    return s",Data Structure,282
Write a Python program to create a dictionary of the elements in a list and their frequency count.,"list = [3, 2, 3, 4, 5]","def frequency_dict(list):
    counts = {}
    for i in list:
        if i not in counts:
            counts[i] = 1
        else:
            counts[i] += 1
    return counts

print(frequency_dict(list))",Data Structure,283
Create a python script that compares two sets of input data (lists of numbers) and outputs the intersection set.,"set1 = [1, 2, 3, 4, 5]
set2 = [3, 4, 5, 6, 7]","def find_intersection(set1, set2):
 intersect_set = []
 for num in set1:
 if num in set2:
 intersect_set.append(num)
 return intersect_set

set1 = [1, 2, 3, 4, 5]
set2 = [3, 4, 5, 6, 7]

intersect_set = find_intersection(set1, set2)
print(intersect_set) # Output -> [3, 4, 5]",Data Structure,288
Write a python program to generate a Combinations of four numbers from a given list of N numbers,"numbers = [1, 4, 5, 6, 7]","def comb_four(nums): 
    result = [] 
    for i in range(len(nums)-3): 
        for j in range(i+1, len(nums)-2): 
            for k in range(j+1, len(nums)-1):
                for l in range(k+1, len(nums)): 
                    result.append([nums[i], nums[j], nums[k], nums[l]]) 
    return result",Data Structure,289
Design a function in Python to sort the given list of numbers in descending order.,"The given list of numbers is: [2, 4, 1, 6, 9, 8]","def descendingSort(nums):
    # sort list in reverse order
    nums.sort(reverse=True)
    return nums

print(descendingSort([2, 4, 1, 6, 9, 8]))",Data Structure,291
Create a Python function to take two lists and return a list with the elements added together.,"list_a = [1, 4, 5]
list_b = [2, 3, 6]","def list_add(list_a, list_b):
  result = []

  for i in range(len(list_a)):
     result.append(list_a[i] + list_b[i])

  return result

result = list_add(list_a, list_b)
print(result)",Data Structure,293
Produce a Python script to remove duplicate values from a list.,"[1, 2, 3, 2, 1]","def remove_duplicates(lst):
    unique_lst = []
    for i in lst:
        if i not in unique_lst:
            unique_lst.append(i)
    return unique_lst",Data Structure,294
Create a Python list comprehension to find the sum of even numbers from two given lists.,"[1, 2, 3, 4]
[9, 8, 7, 6]","even_nums_sum = [x + y for x in [1, 2, 3, 4] for y in [9, 8, 7, 6] if x % 2 == 0 and y % 2 == 0]
print(sum(even_nums_sum))",Data Structure,303
Implement an algorithm in Python to remove duplicate elements from a given list.,"list = [1,4,4,4,5,5,5,6,7]","def removeDuplicates(list): 
    uniqueList = []  
    for item in list: 
        if item not in uniqueList: 
            uniqueList.append(item) 
    return uniqueList 

print(removeDuplicates([1,4,4,4,5,5,5,6,7]))",Data Structure,315
