Instruction,Input,Output,materi,question_id,Template,correct_answer
Write a Python program to find all palindromic words in a given list.,"words = [""word"", ""racecar"", ""level"", ""pop"", ""mom"", ""nursesrun""]","def palindrome_words(words): 
    """"""This function takes in a list of words and returns a list of palindromic words""""""

    palindrome_words = []

    for word in words:
        if word == word[::-1]:
            palindrome_words.append(word)

    return palindrome_words",Data Structure,214,"def palindrome_words(words): 
    """"""This function takes in a list ___ words and returns a list of palindromic words""""""

    palindrome_words = []

    for word in words:
        if word == word[::-1]:
            palindrome_words.append(word)

    return palindrome_words",of
Write a Python code snippet which sorts a list by the values of the 2nd element of each tuple in the list.,"[(1, 2), (3, 1), (2, 3)]","unsorted_list = [(1, 2), (3, 1), (2, 3)]

def take_second(el):
     return el[1]

# sorting list 
# the second elements of tuples 
sorted_list = sorted(unsorted_list, key = take_second) 

# printing sorted list 
print(sorted_list)",Data Structure,238,"unsorted_list = [(1, 2), (3, 1), (2, 3)]

def take_second(el):
     return el[1]

# sorting list 
# the second elements of tuples 
sorted_list = sorted(unsorted_list, key = take_second) 

# printing sorted list ___(sorted_list)",print
Write a Python program to read a list of integers from the user and find the smallest number.,"[12, 11, 7, 15]","list_of_numbers = input(""Please enter a list of numbers: "").split()
list_of_numbers = [int(x) for x in list_of_numbers] 

min_number = min(list_of_numbers)
print(""The smallest number is:"", min_number)",Data Structure,254,"list_of_numbers = input(""Please enter a list ___ numbers: "").split()
list_of_numbers = [int(x) for x in list_of_numbers] 

min_number = min(list_of_numbers)
print(""The smallest number is:"", min_number)",of
Design a function in Python to sort the given list of numbers in descending order.,"The given list of numbers is: [2, 4, 1, 6, 9, 8]","def descendingSort(nums):
    # sort list in reverse order
    nums.sort(reverse=True)
    return nums

print(descendingSort([2, 4, 1, 6, 9, 8]))",Data Structure,291,"def descendingSort(nums):
    # sort list ___ reverse order
    nums.sort(reverse=True)
    return nums

print(descendingSort([2, 4, 1, 6, 9, 8]))",in
Convert a list of numbers into strings using Python.,"[5, 10, 15]","# Create an empty list of strings
number_strings = []

# Loops through the list of numbers
for n in [5, 10, 15]:
    # Appends a string version of the number to the list
    number_strings.append(str(n))

print(number_strings)   # ['5', '10', '15']",Data Structure,320,"# Create an empty list ___ strings
number_strings = []

# Loops through the list of numbers
for n in [5, 10, 15]:
    # Appends a string version of the number to the list
    number_strings.append(str(n))

print(number_strings)   # ['5', '10', '15']",of
Generate a program in Python to find the median of a list of numbers.,"[5, 8, 2, 7, 4]","def median(nums):
    nums.sort()
    length = len(nums)
 
    if length % 2 == 0:
        return (nums[length//2] + nums[(length//2)-1])/2.0
    else:
        return nums[length//2] 

list = [5, 8, 2, 7, 4]
med = median(list)
print('The median of the list is ' + str(med))",Data Structure,323,"def median(nums):
    nums.sort()
    length = len(nums)
 
    if length % 2 == 0:
        return (nums[length//2] + nums[(length//2)-1])/2.0
    else:
        return nums[length//2] 

list = [5, 8, 2, 7, 4]
med = median(list)
print('The median of the list ___ ' + str(med))",is
"Create a program in Python that given a list of integer inputs, sorts them in descending order.","list = [4, 9, 2, 6, 5]","list = [4, 9, 2, 6, 5]

# sort list in descending order
list.sort(reverse=True)

print(list) # [9, 6, 5, 4, 2]",Data Structure,346,"list = [4, 9, 2, 6, 5]

# sort list ___ descending order
list.sort(reverse=True)

print(list) # [9, 6, 5, 4, 2]",in
Create a function in Python that takes in an array of integers and returns the odd numbers from that array.,"[1, 2, 3, 4, 5]","def get_odd_numbers(arr):
    # Create an empty list to store the odd numbers
    odd_numbers = []

    # Iterate through and check for odd numbers
    for num in arr:
        if num % 2 != 0:
            odd_numbers.append(num)
    
    return odd_numbers

arr = [1, 2, 3, 4, 5]

odd_numbers = get_odd_numbers(arr)

print('Odd numbers: ', odd_numbers)",Data Structure,355,"def get_odd_numbers(arr):
    # Create an empty list ___ store the odd numbers
    odd_numbers = []

    # Iterate through and check for odd numbers
    for num in arr:
        if num % 2 != 0:
            odd_numbers.append(num)
    
    return odd_numbers

arr = [1, 2, 3, 4, 5]

odd_numbers = get_odd_numbers(arr)

print('Odd numbers: ', odd_numbers)",to
Create a function to perform list sorting using Python.,"list = [4, 5, 2, 1, 3]","def sortList(list):
    list.sort()
    return list

sortedList = sortList([4, 5, 2, 1, 3])
print(sortedList)",Data Structure,386,"def sortList(list):
    list.sort()
    return list ___ = sortList([4, 5, 2, 1, 3])
print(sortedList)",sortedList
Design a program in Python to filter a given array of integers and output only the even numbers.,"arr = [2, 7, 3, 4, 8, 9, 10]","def filterEvenNo(arr): 

  # return a list containing only even numbers
  return [num for num in arr if num % 2 == 0]",Data Structure,407,"def filterEvenNo(arr): 

  # return a list ___ only even numbers
  return [num for num in arr if num % 2 == 0]",containing
"Generate a Python script that takes in a list of numbers, rearranges them in ascending order, and prints out the result.","[3, 2, 5, 7, 1, 4]","def sort_list(nums): 
    # Sort list in ascending order
    nums.sort()
    
    # Print out the sorted list
    for num in nums: 
        print(num) 
  
# Test the function
nums = [3, 2, 5, 7, 1, 4]
sort_list(nums)",Data Structure,435,"def sort_list(nums): 
    # Sort list ___ ascending order
    nums.sort()
    
    # Print out the sorted list
    for num in nums: 
        print(num) 
  
# Test the function
nums = [3, 2, 5, 7, 1, 4]
sort_list(nums)",in
Develop a python program that sorts a given list of words in lexicographic order.,"[apple, bike, dog, cat]","# Sort a list of words in lexicographic order
words = [""apple"", ""bike"", ""dog"", ""cat""]

# Sort the list
words.sort()

# Print the list
print(words)

# Output:
# ['apple', 'bike', 'cat', 'dog']",Data Structure,505,"# Sort a list ___ words in lexicographic order
words = [""apple"", ""bike"", ""dog"", ""cat""]

# Sort the list
words.sort()

# Print the list
print(words)

# Output:
# ['apple', 'bike', 'cat', 'dog']",of
Create an algorithm in Python to calculate the mean of a given list.,"[1,2,3,4]","def calculate_mean(numbers):
    # Get the length of the list
    numbers_len = len(numbers)
    # Sum up all the elements in the list
    total = 0
    for num in numbers:
        total += num
    # Divide the total with the length of the list
    mean = total / numbers_len
    # Return the mean
    return mean

mean = calculate_mean([1,2,3,4])
print(mean)",Data Structure,554,"def calculate_mean(numbers):
    # Get the length of the list ___ = len(numbers)
    # Sum up all the elements in the list
    total = 0
    for num in numbers:
        total += num
    # Divide the total with the length of the list
    mean = total / numbers_len
    # Return the mean
    return mean

mean = calculate_mean([1,2,3,4])
print(mean)",numbers_len
Create an algorithm in Python to sort an array of integers.,"The array to be sorted: [2, 1, 6, 5, 8]","def quicksort(array):
  if len(array) <= 1:
    return array
  
  pivot = array[len(array) // 2]
  left = [x for x in array if x < pivot]
  middle = [x for x in array if x == pivot]
  right = [x for x in array if x > pivot]
  return quicksort(left) + middle + quicksort(right)

# test
array = [2, 1, 6, 5, 8]
print(quicksort(array))",Data Structure,607,"def quicksort(array):
  if len(array) <= 1:
    return array ___ = array[len(array) // 2]
  left = [x for x in array if x < pivot]
  middle = [x for x in array if x == pivot]
  right = [x for x in array if x > pivot]
  return quicksort(left) + middle + quicksort(right)

# test
array = [2, 1, 6, 5, 8]
print(quicksort(array))",pivot
Create an algorithm in Python to find the average of numbers in a list.,"[3, 5, 7, 9, 11]","def find_average(lst):
    sum = 0
    for num in lst: 
        sum += num 
    # average calculation 
    avg = sum / len(lst)  
      
    return avg

average = find_average([3, 5, 7, 9, 11])
print(""The average of the numbers in the list is:"", average)",Data Structure,628,"def find_average(lst):
    sum = 0
    for num in lst: 
        sum += num 
    # average calculation 
    avg = sum / len(lst)  
      
    return avg

average = find_average([3, 5, 7, 9, 11])
print(""The average of the numbers in the list ___:"", average)",is
Create a Python script to sort the numbers in an array.,"[2, 4, 5, 1, 3]","def sort_array(array):
    array.sort()
    return array

result = sort_array([2, 4, 5, 1, 3])
print(result)",Data Structure,733,"def sort_array(array):
    array.sort()
    return array ___ = sort_array([2, 4, 5, 1, 3])
print(result)",result
Optimize the following Python code for calculating the sum of an array.,"arr = [1, 2, 3, 4, 5, 6]
total = 0
for el in arr:
 total += el","arr = [1, 2, 3, 4, 5, 6]
total = sum(arr) # use sum() to sum up all elements of the array in one line",Data Structure,743,"arr = [1, 2, 3, 4, 5, 6]
total = sum(arr) # use sum() to sum up all elements of the array ___ one line",in
Modify this Python code to insert the number 5 into a list at the 5th position.,"data = [1, 2, 3, 4]","data = [1, 2, 3, 4] 

# insert element '5' at 5th position 
data.insert(4, 5) 
print(""Modified list:"") 
print(data)",Data Structure,774,"data = [1, 2, 3, 4] 

# insert ___ '5' at 5th position 
data.insert(4, 5) 
print(""Modified list:"") 
print(data)",element
Write a Python script for finding the maximum and minimum value in a given list.,"[1,5,6,8,7]","list = [1,5,6,8,7]
min_val = min(list)
max_val = max(list)

print(""Minimum value in list is: %d""%min_val)
print(""Maximum value in list is: %d""%max_val)",Data Structure,776,"list = [1,5,6,8,7]
min_val = min(list)
max_val = max(list)

print(""Minimum value in list ___: %d""%min_val)
print(""Maximum value in list is: %d""%max_val)",is
Implement a program in Python to find the average of an array of length n.,"Input: [2, 4, 6, 8, 10]","def findAverage(arr):
    # Initialize sum
    sum = 0
 
    # Iterate over the array to calculate sum
    for n in arr:
        sum += n
 
    # Calculate the average and return  
    return sum/len(arr)


# Driver code
arr = [2, 4, 6, 8, 10]
print(findAverage(arr))",Data Structure,792,"def findAverage(arr):
    # Initialize sum
    sum = 0
 
    # Iterate over the array ___ calculate sum
    for n in arr:
        sum += n
 
    # Calculate the average and return  
    return sum/len(arr)


# Driver code
arr = [2, 4, 6, 8, 10]
print(findAverage(arr))",to
Create an algorithm in Python 3 to find the largest number in a list.,"Input list: [1, 7, 3, 4, 9, 2]","def find_largest(list): 
    n = len(list) 
    max = list[0] 
    for i in range(1,n): 
        if list[i] > max: 
            max = list[i] 
    return max 

list = [1, 7, 3, 4, 9, 2]
largest_number = find_largest(list) 
print(""Largest number in the given list is:"", largest_number)",Data Structure,809,"def find_largest(list): 
    n = len(list) 
    max = list[0] 
    for i in range(1,n): 
        if list[i] > max: 
            max = list[i] 
    return max 

list = [1, 7, 3, 4, 9, 2]
largest_number = find_largest(list) 
print(""Largest number in the given list ___:"", largest_number)",is
Create a Python program to search a list for the maximum value.,"list = [1, 2, 3, 9, 8, 4]","def findMax(list): 
    max = list[0] 
    for i in range(1, len(list)): 
        if list[i] > max: 
            max = list[i] 
    return max

list = [1, 2, 3, 9, 8, 4] 
print(""The maximum element in the list is:"", findMax(list))",Data Structure,814,"def findMax(list): 
    max = list[0] 
    for i in range(1, len(list)): 
        if list[i] > max: 
            max = list[i] 
    return max

list = [1, 2, 3, 9, 8, 4] 
print(""The maximum element in the list ___:"", findMax(list))",is
Edit the following Python code to reverse the list.,"list1 = [1,2,3,4,5,6]","list1 = [1,2,3,4,5,6]

# Reversing the list
list1 = list1[::-1] # Output: [6, 5, 4, 3, 2, 1]",Data Structure,839,"list1 = [1,2,3,4,5,6]

# Reversing the list ___ = list1[::-1] # Output: [6, 5, 4, 3, 2, 1]",list1
Provide a python program that computes the maximum value from a given set of values,"values = [13, 33, 45, 3, 5, 17, 19, 21]","# Create a list for our values
values = [13, 33, 45, 3, 5, 17, 19, 21]

# Initialize maximum value
max_val = 0

# Iterate over the list
for val in values:
    # Compare with current maximum value
    if val > max_val:
        # Update maximum value
        max_val = val

# Print the maximum value
print(""Maximum value:"", max_val)",Data Structure,846,"# Create a list ___ our values
values = [13, 33, 45, 3, 5, 17, 19, 21]

# Initialize maximum value
max_val = 0

# Iterate over the list
for val in values:
    # Compare with current maximum value
    if val > max_val:
        # Update maximum value
        max_val = val

# Print the maximum value
print(""Maximum value:"", max_val)",for
Compose a Python program for finding the median value of an unsorted array.,"[4, 5, 6, 7, 8, 1, 2]","def median(arr):
    # Sort the array
    arr.sort()

    # Calculate length
    n = len(arr)

    # Check if n is even
    if n % 2 == 0:
        median1 = arr[n // 2]
        median2 = arr[n // 2 - 1]
        median = (median1 + median2) / 2
    else:
        median = arr[n // 2]

    return median

arr = [4, 5, 6, 7, 8, 1, 2]
result = median(arr)
print(result) # 4.5",Data Structure,867,"def median(arr):
    # Sort the array ___.sort()

    # Calculate length
    n = len(arr)

    # Check if n is even
    if n % 2 == 0:
        median1 = arr[n // 2]
        median2 = arr[n // 2 - 1]
        median = (median1 + median2) / 2
    else:
        median = arr[n // 2]

    return median

arr = [4, 5, 6, 7, 8, 1, 2]
result = median(arr)
print(result) # 4.5",arr
Generate a Python script for sorting a list in ascending order.,"[3, 4, 8, 5, 10]","def sortList(list): 
    list.sort() 
    return list
    
unsorted_list = [3, 4, 8, 5, 10]
sorted_list = sortList(unsorted_list)

print(""Sorted list:"", sorted_list)",Data Structure,893,"def sortList(list): 
    list.sort() 
    return list ___ = [3, 4, 8, 5, 10]
sorted_list = sortList(unsorted_list)

print(""Sorted list:"", sorted_list)",unsorted_list
Create a function in Python that takes in a list and sorts it in ascending order.,"[3, 5, 1, 2, 9]","def sortList(list):
 list.sort()
 return list

print(sortList([3, 5, 1, 2, 9])) # Output: [1, 2, 3, 5, 9]",Data Structure,913,"def sortList(list):
 list.sort()
 return list ___(sortList([3, 5, 1, 2, 9])) # Output: [1, 2, 3, 5, 9]",print
Create a function in Python to produce a ``new_list`` which contains substring elements from the given ``list``,"list = [""apple"",""banana"",""orange"",""carrot""]","def produce_new_list(list):
    '''This function will return a new list containing substrings from the given list'''
    new_list = []

    for item in list:
        for i in range(0, len(item)):
            new_list.append(item[0:i+1])  

    return new_list",Data Structure,914,"def produce_new_list(list):
    '''This function will return a new list ___ substrings from the given list'''
    new_list = []

    for item in list:
        for i in range(0, len(item)):
            new_list.append(item[0:i+1])  

    return new_list",containing
Create a Python script to calculate the median of an array of integers.,"[3, 1, 4, 5, 2]","def median(arr): 
 # Sort the array 
 arr.sort() 
 n = len(arr) 
  
 # If number of elements is odd, 
 # return the middle element 
 if n % 2 != 0: 
  return arr[n//2] 
  
 # If number of elements is even, 
 # return the average of the middle 
 # two elements 
 else:
  return (arr[n//2] + arr[(n//2)-1]) / 2

# Driver code 
arr = [3, 1, 4, 5, 2] 
print(median(arr))",Data Structure,926,"def median(arr): 
 # Sort the array ___.sort() 
 n = len(arr) 
  
 # If number of elements is odd, 
 # return the middle element 
 if n % 2 != 0: 
  return arr[n//2] 
  
 # If number of elements is even, 
 # return the average of the middle 
 # two elements 
 else:
  return (arr[n//2] + arr[(n//2)-1]) / 2

# Driver code 
arr = [3, 1, 4, 5, 2] 
print(median(arr))",arr
Design and program a Python function to find the maximum number from an array of integers,"[10, 2, 4, 6, 8, 9]","def max_num(arr):
    max_num = arr[0]
    for i in arr:
        if i > max_num:
            max_num = i
    return max_num

if __name__ == '__main__':
    arr = [10, 2, 4, 6, 8, 9]
    print('The maximum number in array is', max_num(arr))",Data Structure,977,"def max_num(arr):
    max_num = arr[0]
    for i in arr:
        if i > max_num:
            max_num = i
    return max_num

if __name__ == '__main__':
    arr = [10, 2, 4, 6, 8, 9]
    print('The maximum number in array ___', max_num(arr))",is
Write a Python program to display the most commonly occurring item in a list.,"list_items = [1, 7, 3, 8, 2, 9, 3, 5, 5, 8, 7, 3]","from collections import Counter

list_items = [1, 7, 3, 8, 2, 9, 3, 5, 5, 8, 7, 3]

counter = Counter(list_items)
most_common_item = counter.most_common()[0][0]

print(f'The most commonly occuring item in the list is {most_common_item}.')",Data Structure,984,"from collections import Counter

list_items = [1, 7, 3, 8, 2, 9, 3, 5, 5, 8, 7, 3]

counter = Counter(list_items)
most_common_item = counter.most_common()[0][0]

print(f'The most commonly occuring item in the list ___ {most_common_item}.')",is
Generate a Python program to check if any element of a given list is palindrome or not.,"list1 = [12, 121, 3]","list1 = [12, 121, 3]

# Iterate through the list
for element in list1:
    # Convert the element to a string
    element = str(element)
    
    # Check if the element is a palindrome
    if element == element[::-1]:
        print(element + "" is a palindrome"")
    else:
        print(element + "" is not a palindrome"")",Data Structure,996,"list1 = [12, 121, 3]

# Iterate through the list ___ element in list1:
    # Convert the element to a string
    element = str(element)
    
    # Check if the element is a palindrome
    if element == element[::-1]:
        print(element + "" is a palindrome"")
    else:
        print(element + "" is not a palindrome"")",for
Write Python code to create a new list from the given list based on a condition,"Given list : [1,2,3,4,5], condition: only include elements whose corresponding index is divisible by 2.","new_list = []
for i, v in enumerate(list):
    if (i+1) % 2 == 0: # +1 since your list is 0 indexed
        new_list.append(v)
print(new_list) # prints [2,4]",Data Structure,999,"new_list = []
for i, v in enumerate(list):
    if (i+1) % 2 == 0: # +1 since your list ___ 0 indexed
        new_list.append(v)
print(new_list) # prints [2,4]",is
"Create a program in Python that takes a list of strings as input, sorts the strings in alphabetical order, and prints out the list in reverse alphabetical order.","Sample List: [""cat"",""bird"",""dog"",""zebra"",""ant""]","# create a list
sample_list = [""cat"", ""bird"", ""dog"", ""zebra"", ""ant""]
 
# sort the list
sample_list.sort()
 
# reverse the list
sample_list.reverse()
 
# print the reversed list
print(sample_list)
# ['zebra', 'dog', 'cat', 'bird', 'ant']",Data Structure,1037,"# create a list ___ = [""cat"", ""bird"", ""dog"", ""zebra"", ""ant""]
 
# sort the list
sample_list.sort()
 
# reverse the list
sample_list.reverse()
 
# print the reversed list
print(sample_list)
# ['zebra', 'dog', 'cat', 'bird', 'ant']",sample_list
Can you build a program in Python to calculate the median of a given list of integers?,"[4, 9, 12, 8, 1]","def median(list): 
	list.sort() 
	length = len(list) 
	if length % 2 == 0: 
		return sum(list[int(length / 2) - 1:int(length / 2) + 1]) / 2
	else: 
		return list[int(length / 2)] 

median_of_list = median([4, 9, 12, 8, 1]) 
print(""Median of the list is: "" + str(median_of_list)) 
# Output: 8",Data Structure,1038,"def median(list): 
	list.sort() 
	length = len(list) 
	if length % 2 == 0: 
		return sum(list[int(length / 2) - 1:int(length / 2) + 1]) / 2
	else: 
		return list[int(length / 2)] 

median_of_list = median([4, 9, 12, 8, 1]) 
print(""Median of the list ___: "" + str(median_of_list)) 
# Output: 8",is
Create a Python script to calculate the running sum of an array.,"[1, 2, 3, 4, 5]","# Create a function to compute running sum
def running_sum(lst):
    running_sum = 0
    running_lst = []
    for num in lst:
        running_sum += num
        running_lst.append(running_sum)
    return running_lst

# Test array
test = [1, 2, 3, 4, 5]

# Print the result
print(running_sum(test))",Data Structure,1055,"# Create a function to compute running sum
def running_sum(lst):
    running_sum = 0
    running_lst = []
    for num in lst:
        running_sum += num
        running_lst.append(running_sum)
    return running_lst

# Test array ___ = [1, 2, 3, 4, 5]

# Print the result
print(running_sum(test))",test
Generate a Python program to delete an item from a given list.,"Item: 5 
List: [8, 4, 5, 9, 2]","def remove_item(item, list): 
    list.remove(item) 
    return list
  
list_org = [8, 4, 5, 9, 2]
  
result = remove_item(5, list_org)
print(result)",Data Structure,1073,"def remove_item(item, list): 
    list.remove(item) 
    return list ___ = [8, 4, 5, 9, 2]
  
result = remove_item(5, list_org)
print(result)",list_org
Create a function in Python to read specified properties from a list.,"props = ['name', 'age', 'gender']","def read_props(props):
    """"""
    Read listed properties from a list.
    
    Args:
        props (list): The list containing properties to be read.
    
    Returns:
        tuple: Returns a tuple with values of the specified properties.
    """"""
    data = list()
    for prop in props:
        data.append(input(""Enter {}: "".format(prop)))
    return tuple(data)",Data Structure,1084,"def read_props(props):
    """"""
    Read listed properties from a list.
    
    Args:
        props (list): The list ___ properties to be read.
    
    Returns:
        tuple: Returns a tuple with values of the specified properties.
    """"""
    data = list()
    for prop in props:
        data.append(input(""Enter {}: "".format(prop)))
    return tuple(data)",containing
Generate a python program to assign each row of a 2D array to a variable.,<No input>,"def assign_variables(matrix):
    # Create an empty list to contain all the row variables
    variables = []
    
    # Iterate over the matrix
    for row in matrix:
        # Assign each row to a variable
        rowVar = row
        # Add the row variable to the list
        variables.append(rowVar)
        
    # Return the list of row variables
    return variables",Data Structure,1086,"def assign_variables(matrix):
    # Create an empty list ___ contain all the row variables
    variables = []
    
    # Iterate over the matrix
    for row in matrix:
        # Assign each row to a variable
        rowVar = row
        # Add the row variable to the list
        variables.append(rowVar)
        
    # Return the list of row variables
    return variables",to
Write Python code to select values greater than 2 in a given list.,"[1, 2, 3, 4, 5]","list = [1, 2, 3, 4, 5]
 
result = [value for value in list if value > 2]
 
print(result)",Data Structure,1087,"list = [1, 2, 3, 4, 5]
 
result = [value for value in list ___ value > 2]
 
print(result)",if
Implement a sorting algorithm in Python that sorts a given array of numbers.,"array = [2, 7, 4, 1, 5, 3]","def sort_array(array):
    for i in range(len(array)): 
        min_idx = i 
        for j in range(i+1, len(array)): 
            if array[min_idx] > array[j]: 
                min_idx = j       
        array[i], array[min_idx] = array[min_idx], array[i]
    return array
result = sort_array(array)
print(result) // Output: [1, 2, 3, 4, 5, 7]",Data Structure,1103,"def sort_array(array):
    for i in range(len(array)): 
        min_idx = i 
        for j in range(i+1, len(array)): 
            if array[min_idx] > array[j]: 
                min_idx = j       
        array[i], array[min_idx] = array[min_idx], array[i]
    return array ___ = sort_array(array)
print(result) // Output: [1, 2, 3, 4, 5, 7]",result
Rewrite the following code to use list comprehension in Python.,"big_list = []
 for value in list:
   if value % 2 == 0:
     big_list.append(value)",big_list = [value for value in list if value % 2 == 0],Data Structure,1203,big_list = [value for value in list ___ value % 2 == 0],if
Modify a given Python list by adding a certain value to each element.,"list = [1, 2, 3, 4, 5] 
value = 10","# Modifying the list by adding 'value' to each element
for i in range(len(list)):
    list[i] = list[i] + value

# Print the modified list
print(list)
# [11, 12, 13, 14, 15]",Data Structure,1205,"# Modifying the list ___ adding 'value' to each element
for i in range(len(list)):
    list[i] = list[i] + value

# Print the modified list
print(list)
# [11, 12, 13, 14, 15]",by
Compute the sum of list integers using Python.,"Target list: [3, 5, 7, 9]","mylist = [3, 5, 7, 9]
total = 0

for item in mylist:
   total = total + item

print(""The sum of list items is:"", total)",Data Structure,1223,"mylist = [3, 5, 7, 9]
total = 0

for item in mylist:
   total = total + item

print(""The sum of list ___ is:"", total)",items
Implement a bubble sort algorithm in Python to sort a list of numbers from lowest to highest.,"[5, 3, 1, 4, 7]","def bubble_sort(array):
    for i in range(len(array)):
        for j in range(i + 1, len(array)):
            if array[i] > array[j]:
                array[i], array[j] = array[j], array[i]
    return array

arr = [5, 3, 1, 4, 7]
sorted_arr = bubble_sort(arr)
print(sorted_arr)",Data Structure,1241,"def bubble_sort(array):
    for i in range(len(array)):
        for j in range(i + 1, len(array)):
            if array[i] > array[j]:
                array[i], array[j] = array[j], array[i]
    return array ___ = [5, 3, 1, 4, 7]
sorted_arr = bubble_sort(arr)
print(sorted_arr)",arr
