question_id,material,instruction,template,input,correct_answer,attempts,duration
4340,OOP,Format a numerical table of data into a JSON object in Python.,"Assuming the numerical table of data is stored in a 2D list data, a function to format it into a JSON object ___ be written as follows:

import json
def formatData2JSON(data):
    json_formatted_data = json.dumps(data)
    return json_formatted_data",Numerical table of data.,can,1,20
4380,OOP,Design a class in Python that implements a stack,"class ___:
    def __init__(self):
        self.items = []
    
    def isEmpty(self):
        return self.items == []
    
    def push(self, item):
        self.items.append(item)
    
    def pop(self):
        return self.items.pop()
    
    def peek(self):
        return self.items[len(self.items)-1]
    
    def size(self):
        return len(self.items)",No input,Stack,1,20
4742,OOP,Design a python class to store fruit and its quantity in a grocery store.,"class ___:
    def __init__(self):
        self.items = {
            'Banana': 200,
            'Orange': 300,
            'Grapes': 500
        }

    def get_item_quantity(self, item):
        return self.items.get(item)","Banana - 200
Orange - 300
Grapes - 500",FruitGrocery,1,20
5493,OOP,Write a Python class that takes 2 strings as arguments and prints them out in a concatenated form.,"class ___:
    def __init__(self, string1, string2):
        self.string1 = string1
        self.string2 = string2

    def print_concat(self):
        print(self.string1 + self.string2)","string1 = ""Hello"" 
string2 = ""World""",ConcatStrings,1,20
5552,OOP,Use the given data structure to create a python class.,"class ___:
    def __init__(self, data):
        self.name = data['name']
        self.age = data['age']
        self.city = data['city']","data = { 
   ""name"": ""John Doe"",
   ""age"": 30,
   ""city"": ""London""
}",Person,1,20
5822,OOP,Create a Python class that has the following functionality.,"class ___:
    def containsVowels(self, s):
        vowels = set('aeiouAEIOU')
        for letter in s:
            if letter in vowels:
                return True
        return False",Create a class with a method to check if a given string contains any vowels or not.,StringChecker,1,20
5908,OOP,Create a class in Python to represent a circle containing methods to calculate the area and circumference.,"class ___:
    def __init__(self, radius):
        self.radius = radius

    def area(self):
        return 3.14 * self.radius * self.radius

    def circumference(self):
        return 2 * 3.14 * self.radius",-,Circle,1,20
5925,OOP,"Develop a Python class to represent an employee with name, position and salary.","class ___:
    def __init__(self, name, position, salary):
        self.name = name
        self.position = position
        self.salary = salary

john = Employee('John', 'Software Engineer', 6000)","The employee is named 'John', he is a software engineer and he earns 6000$ per month.",Employee,1,20
6033,OOP,Write a Python program to generate a Python Class using the given description.,"class ___:
 def __init__(self, name, age, height):
 self.name = name
 self.age = age
 self.height = height
 
 def get_name(self):
 return self.name
 
 def get_age(self):
 return self.age
 
 def get_height(self):
return self.height","description = ""This class should store the name, age, and height of a person.""",Person,1,20
6218,OOP,"Create a class in Python that inherits from the given base class, and implements the given interface.","class ___:
    def __init__(self, name):
        self.name = name

class Cat(Animal):
    def eat(self, food):
        print(""{} is eating {}!"".format(self.name, food))","BaseClass: Animal
Interface: eat(food)",Animal,1,20
6277,OOP,Develop a class in Python to keep track of stock prices,"class ___:
  def __init__(self, symbol):
    self.symbol = symbol
    self.prices = []
 
  def add_price(self, price):
    self.prices.append(price)
 
  def get_prices(self):
    return self.prices
      
AAPL = Stock('AAPL')
AAPL.add_price(191.43)
AAPL.add_price(193.57)
AAPL.add_price(190.08)
AAPL.get_prices()",Symbol: AAPL,Stock,1,20
6549,OOP,Generate a class in Python with the given properties and methods.,"class ___:
    def __init__(self, name, age):
        self.name = name
        self.age = age

    def getInfo(self):
        return ""Name: {}, Age: {}"".format(self.name, self.age)","Class Name: Student
Properties:
Name - String
Age - Integer
Methods:
getInfo() - Returns a string with student's name and age",Student,1,20
6614,OOP,Write a class definition in python that will initialize an object of the class with given parameters,"class ___:
    def __init__(self, name, age):
        self.name = name
        self.age = age","name, age",Person,1,20
6690,OOP,Generate a Python code to create a class which creates an empty dictionary with the given keys.,"class ___:
    def __init__(self, keys):
        self.keys = [k.strip() for k in keys.split("","")]
        self.dictionary = {k: None for k in self.keys}
            
    def get_dictionary(self):
        return self.dictionary","""name, age""",EmptyDictionary,1,20
6757,OOP,Write a class that implements the singleton pattern in Python.,"class ___:
    instance = None

    @staticmethod
    def get_instance():
        if Singleton.instance is None:
            Singleton.instance = Singleton()
        return Singleton.instance",No input,Singleton,1,20
6800,OOP,Provide a valid Python class definition that uses the below given values.,"class ___:
    def __init__(self, speed, color):
        self.speed = speed
        self.color = color

    def set_speed(self, speed):
        self.speed = speed
    
    def set_color(self, color):
        self.color = color","Class_name = 'Automobile'
 attributes  = 'speed' , 'color'
 methods = 'set_speed', 'set_color'",Automobile,1,20
6889,OOP,Develop a class in Python to optimize the existing code.,"class ___():
  def __init__(self, message):
    self.message = message
    
  def display_message(self):
    print(self.message)
    
message = input('Enter a message: ')
display_obj = Display(message)
display_obj.display_message()","def display_message(message):
  print(message)

display_message('Hello World!')",Display,1,20
7182,OOP,Create a class in Python to store user information with the given attributes.,"class ___:
    def __init__(self, username, email, profile_picture):
        self.username = username
        self.email = email
        self.profile_picture = profile_picture","Attributes- username, email, profile_picture",UserInformation,1,20
7206,OOP,Use a given class to deserialize a JSON response into a Python dictionary.,"class ___(Deserializer):
    def deserialize(self, response):
        return json.loads(response)

deserializer = MyDeserializer()
deserialized_data = deserializer.deserialize(response)

print(deserialized_data)","import json
from some_library import Deserializer

class MyDeserializer(Deserializer):
    pass

response = '{""data"": ""abc""}'",MyDeserializer,1,20
7267,OOP,Generate a Python class with the following variables.,"class ___:
  def __init__(self, name, job, age):
    self.name = name
    self.job = job
    self.age = age","name, job, age",Person,1,20
7364,OOP,Generate a valid python class that captures person information,"class ___:
    def __init__(self, name, age, gender, nationality):
        self.name = name
        self.age = age
        self.gender = gender
        self.nationality = nationality
 
    def __str__(self):
        return 'Name: {}\nAge: {}\nGender: {}\nNationality: {}'.format(
            self.name, self.age, self.gender, self.nationality)","Name, Age, Gender, Nationality",Person,1,20
