question_id,material,instruction,template,input,correct_answer,attempts,duration
1359,Operator,Generate a Python script using Scikit-Learn for performing k-means clustering on a given dataset.,"import numpy as np
from sklearn.cluster import KMeans

data = ___.array([[x1, x2, x3]]) #replace x1, x2 and x3 with the features in the dataset

kmeans = KMeans(n_clusters=3).fit(data)
clusters = kmeans.predict(data)","Dataset: The dataset consists of three features x1, x2 and x3.",np,1,20
1393,Operator,Create a Python program to optimize a given function using the Nelder-Mead method.,"from scipy.optimize import minimize
def f(x):
    return x[0]**2 + ___*x[1]**2

res = minimize(f, [3, -2], method='nelder-mead')

print(res.x)","def f(x):
 return x[0]**2 + 4*x[1]**2
[3, -2]",4,1,20
1426,Operator,Write a Python program that will determine the maximum number of unique paths a person can take from one point to another in a two-dimensional grid.,"def unique_paths(grid):
 rows = ___(grid)
 cols = len(grid[0])
 
 dp = [[0 for i in range(cols)] for j in range(rows)]
 
 for i in range(rows):
 for j in range(cols):
 if i == 0 or j == 0:
 dp[i][j] = 1
 else:
 dp[i][j] = dp[i][j-1] + dp[i-1][j]
 
 return dp[-1][-1]
 
print(unique_paths(grid))
# Output: 2","grid = [
[0,1],
[1,1]
]",len,1,20
1430,Operator,Refactor the following Python code to use list comprehension instead of for-loops.,"my_list = [1, 2, 3, 4, 5] 
new_list = [x**2 for x in my_list if x % ___ == 0]","my_list = [1, 2, 3, 4, 5] 
new_list = []

for item in my_list:
 if item % 2 == 0:
 new_list.append(item**2)",2,1,20
1502,Operator,Create a Python script that takes a text and replaces all occurrences of a given word to its upper-case version.,"import re
 
text = ""The quick brown fox jumps over the lazy dog""
 
replaced = ___.sub(r'quick', ""QUICK"", text) 
 
print(replaced) #prints ""The QUICK brown fox jumps over the lazy dog""","Text: ""The quick brown fox jumps over the lazy dog"" and the word to replace: ""quick""",re,1,20
1508,Operator,Write a python program to generate a dictionary object from a list containing key-value tuples.,my_dict = ___(my_list),"my_list = [('key1', 'value1'), ('key2', 'value2')]",dict,1,20
1559,Operator,Create a program in Python that calculates the median of an array of integers without using the built-in function.,"def median(arr): 
 n = ___(arr) 
 arr.sort() 

 # check for even case 
 if n % 2 == 0: 
 return (arr[int((n - 1)/2)] +
 arr[int(n/2)]) / 2

else: 
 return arr[int(n/2)] 

# test
arr = [1, 2, 3, 4, 5] 
print(""Median ="", median(arr)) 

# Output: Median = 3.0","[1, 2, 3, 4, 5]",len,1,20
1565,Operator,Generate a Python script that computes the area of an ellipse given its semi-major axis and semi-minor axis as inputs.,"import math

# Semi-Major Axis
a = ___

# Semi-Minor Axis
b = 3

# Calculate the area of an ellipse
area = math.pi * a * b

print(""The area of the ellipse is"", area)","Semi-major axis = 5
Semi-minor axis = 3",5,1,20
1701,Operator,Design a Python program to find the first prime number greater than a user-specified number.,"def find_prime_number(n):
    number = ___ + 1
    while True:
        counter = 0
        for i in range(2, number):
          if number % i == 0:
            counter = 1
        if counter == 0:
            break
        number += 1
    return number

num = int(input(""Enter a number:""))
prime = find_prime_number(num)

print(prime)",15,n,1,20
1732,Operator,Write a script in Python to sort the given list of numbers in non-decreasing order,"def sortNumbers(nums): 
    for i in range(len(nums)-1): 
        minPos = ___ 
        for j in range(i+1,len(nums)): 
            if nums[minPos] > nums[j]: 
                minPos = j 
        nums[i],nums[minPos] = nums[minPos],nums[i] 

nums = [3, 2, 7, 1, 9, 5]
sortNumbers(nums) 
print(nums)","[3, 2, 7, 1, 9, 5]",i,1,20
1752,Operator,Develop a python program to find the maximum sum of non-consecutive elements of a given integer list.,"def find_max_non_consecutive_sum(arr):
    incl = ___
    excl = 0
     
    for i in arr:
        new_excl = max(incl, excl)   
        incl = excl + i 
        excl = new_excl 
       
    return max(incl, excl)","[2, 3, 5, 6, 20, 9]",0,1,20
1830,Operator,Create a Python program to find the sum of all elements in the following two-dimensional list.,"def sum_list(list_two_dim): 
    sum = ___
    for row in list_two_dim: 
        sum += sum(row) 
    return sum","[[1,2], [3,4]]",0,1,20
1904,Operator,Create a Python program to convert a given string to an integer by removing all non-numeric characters.,"def remove_non_numeric(str):
 res = """"
 for c in str:
 if c.isnumeric():
 res += ___
 return int(res)

s = ""29A3B8746""
integer = remove_non_numeric(s)
print(integer) // 2938746","""29A3B8746""",c,1,20
1924,Operator,Generate a python program to sort a collection of data given in the form of a 2-dimensional array.,"def sortArray(arr): 
  arr.sort(key = ___ x: x[1]) 
  return arr 
  
# Driver Code 
arr = [[1, 2],[2, 6], [3, 4], [4, 5]] 

print (sortArray(arr))","[[1, 2],[2, 6], [3, 4], [4, 5]]",lambda,1,20
1992,Operator,Generate a subroutine in Python to convert a string date of the format DD/MM/YYYY to the Unix timestamp type.,"import datetime

def convert_to_unix_time_stamp(date):
    date_object = ___.datetime.strptime(date, ""%d/%m/%Y"")
    
    return date_object.timestamp()","String date: ""25/12/2021""",datetime,1,20
2026,Operator,"Using Python, create a program to filter out all non-prime numbers from a list.","def filterPrimes(myList):
    result = []
    for i in myList:
        is_prime = ___
        for j in range(2,i):
            if i % j == 0:
                is_prime = False
                break
        if is_prime:
            result.append(i)
    return result

print(filterPrimes(myList)) #[2, 5]","myList = [2, 4, 5, 20, 44]",True,1,20
2033,Operator,Develop a virtual assistant command in Python to generate a random number between two user-supplied numbers.,"import random

min_num = ___(input(""Enter minimum number: ""))
max_num = int(input(""Enter maximum number: ""))

print(random.randint(min_num, max_num)) # random number between 10 and 20","Minimum number: 10
Maximum number: 20",int,1,20
2089,Operator,"Using the provided data, create a Python program that can categorize a book as fiction or non-fiction.","import json

data = '{""title"": ""The Catcher in the Rye"", ""author"": ""JD Salinger"", ""genre"": ""Novel""}'
book_data = ___.loads(data)

if book_data[""genre""] == ""Novel"":
 print(""Book is fiction"")
else:
 print(""Book is not fiction"")","{""title"": ""The Catcher in the Rye"", ""author"": ""JD Salinger"", ""genre"": ""Novel""}",json,1,20
2114,Operator,"Write a Python program to generate a dictionary which contains (i, i*i) such that i is an int between 1 and N.","""""""
A Python program to generate a dictionary which contains (i, i*i) such that i is an int between 1 and N
""""""

N = ___
my_dict = {}

# Generate the dictionary
for i in range(1, N+1):
    my_dict[i] = i * i

# Print the dictionary
print(my_dict)",N = 10,10,1,20
2116,Operator,Write a Python program to optimize a set of points in a 3-dimensional plane.,"import scipy.optimize as opt

def objective(x):
 return sum([x[i]**2 for i in range(len(x))])

def constraint1(x):
 return 16 - ___[0]**2 - x[1]**2 - x[2]**2

cons = [{'type': 'ineq','fun': constraint1}]

x = [0, 0, 0]

solution = opt.minimize(objective, x, constraints=cons)

print(solution)","points = [[10, 12, 13], [1, 8, 9], [3, 5, 7]]",x,1,20
2178,Operator,Write a commmand-line script that sums all numbers from 0 to N where N is provided as input.,"# python code
import sys

input_val = ___(sys.argv[1])
sum = 0

for i in range(input_val + 1):
    sum += i
    
print(""Sum from 0 to {} is = {}"".format(input_val, sum))",N = 10,int,1,20
2199,Operator,Develop an algorithm in Python for finding the maximum index of an array's sub-array.,"def findMaxIndex(arr):
    """"""This function finds the maximum index of an array's sub-array.""""""
    maxIndex = ___
    currentMax = 0
    for i in range(1, len(arr)):
        if arr[i] > arr[currentMax]:
            maxIndex = i
            currentMax = i
    return maxIndex

arr = [2, 3, 4, 5, 7, 9, 11]
maxIndex = findMaxIndex(arr)
print(maxIndex) # Output: 5","arr = [2, 3, 4, 5, 7, 9, 11]",0,1,20
2219,Operator,"Write an Python script to extract the year, month and day from a given date in the format ""dd/mm/yyyy"".","import datetime

date_string = ""27/09/2017""

date_object = ___.datetime.strptime(date_string, ""%d/%m/%Y"")

print(""Year:"", date_object.year)
print(""Month:"", date_object.month)
print(""Day:"", date_object.day)","""27/09/2017""",datetime,1,20
2251,Operator,Generate a Python program to calculate the maximum possible sum of a sub-array in an array of integers.,"def max_subarray_sum(arr):
    current_sum = ___
    max_sum = 0

    for x in arr:
        current_sum += x
        if current_sum < 0:
            current_sum = 0
        if current_sum > max_sum:
            max_sum = current_sum
    return max_sum

result = max_subarray_sum([-2, 4, -1, 5, 6])
print(result)","A list of integers [-2, 4, -1, 5, 6]",0,1,20
2253,Operator,Create code in Python to check the right-hand side of a list and remove any elements which are divisible by 3.,"arr = [12, 15, 8, 10]
arr[:] = [x for x in arr if x % ___ != 0]","arr = [12, 15, 3, 8, 10, 24]",3,1,20
2258,Operator,Generate a function in Python to populate a dictionary data-structure with a list of numerical values.,"def populateDict(lst):
    my_dict = {}
    for i in lst:
        my_dict[i] = ___
    return my_dict

my_numbers = [1, 2, 3, 4, 5]
my_dict = populateDict(my_numbers)
print(my_dict)","[1, 2, 3, 4, 5]",i,1,20
2311,Operator,Generate a Python program that computes the Euclidean distance between two points in a two-dimensional space.,"import math

# Define the two points
pointA = (3, 5) 
pointB = (7, 6)

# Calculate the Euclidean distance
distance = ___.sqrt( (pointB[0] - pointA[0])**2 + (pointB[1] - pointA[1])**2 )

print(""The Euclidean distance between the two points is:"", distance)","Point A - x: 3, y: 5
Point B - x: 7, y: 6",math,1,20
2365,Operator,"Given a JSON object containing a list of key/value pairs, write a Python function to sort the list by value.","def sort_by_value(data):
 sorted_list = ___(data.items(), key=lambda kv: kv[1])
 return sorted_list
 
print(sort_by_value({""a"": 23, ""b"": 42, ""c"": 16}))
# Output -> [('c', 16), ('a', 23), ('b', 42)]  # sorted by value","{
  ""a"": 23,
  ""b"": 42,
  ""c"": 16
}",sorted,1,20
2439,Operator,Create a class Cell in Python using object-oriented programming.,"class Cell:
    def __init__(self, row, col):
        self.row = ___
        self.col = col 

    def move_left(self):
        self.col -= 1

    def move_right(self):
        self.col += 1

    def move_up(self):
        self.row -= 1

    def move_down(self):
        self.row += 1",<no input>,row,1,20
2477,Operator,Develop a Python program to display the Fibonacci sequence up to n-th term.,"def fibonacci(n): 
    a = ___
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
# Driver Program 
print(fibonacci(10))",10,0,1,20
2524,Operator,"Create an SHA-2 encryption algorithm in Python using a provided string ""abc"".","import hashlib

s = 'abc'.encode(""utf-8"")

hash_object = ___.sha256(s)
hex_dig = hash_object.hexdigest()
print(hex_dig)",abc,hashlib,1,20
2593,Operator,Generate a Python function that takes as input a UTF-8 encoded string and returns a string where the characters in odd positions of the original string are repeated.,"def repeat_char(s):
    result = ''
    for i,c in enumerate(s):
        if i % ___ == 0:
            result += c
        else:
            result += c*2
    return result

print(repeat_char('HelloWorld'))
# Output: HeellooWorrlld",string = ‘HelloWorld’,2,1,20
2636,Operator,Maxminizing a Black-Box function (Python),"import scipy.optimize

# define the black box function
def black_box(x):
    return x ** ___ + 40

# set the initial parameters 
start = (0, 0)

# minimize the black box function
res = scipy.optimize.minimize(black_box, start, method=""L-BFGS-B"")

# print the result
print(res.x) # prints [0.]","A Black box function:

def black_box (x):
  return x ** 2 + 40",2,1,20
2680,Operator,Write a Python function to recognize a date (in “DD/MM/YYYY” format) in a string,"def recognize_date(s):
    '''This function recognizes a date (in DD/MM/YYYY format) in a string.'''
    # Regex for DD/MM/YYYY format
    format_regex = ___.compile(r'\d{2}/\d{2}/\d{4}') 
    match = format_regex.search(s)
    if match:
        date = match.group()
        return date
    else:
        return None",The deadline is 23/05/2020,re,1,20
2691,Operator,Generate a random 6-digit number using Python,"import random

def generate_random_number(): 
    random_number = ___.randint(100000, 999999) 
    return random_number

generatedNumber = generate_random_number() 
print(generatedNumber)",No input,random,1,20
2694,Operator,Write a function in Python to compute the sum of all elements in a given 2-dimensional array.,"def arraySum(arr): 
  sum = ___
  for sublist in arr: 
    for item in sublist: 
      sum = sum + item 
  return sum 

print(arraySum([[2, 3], [2, 5], [5, 6], [4, 5]])) 

# Output: 29","[[2, 3], [2, 5], [5, 6], [4, 5]]",0,1,20
2772,Operator,Generate a code snippet to insert a key-value pair into a given dictionary.,dict['Python'] = ___,"dict = {'I': 1, 'love': 2, 'coding': 3}
key = 'Python'
value = 10",10,1,20
2825,Operator,Create a Python program to classify a given set of data using a k-nearest neighbors algorithm.,"import numpy as np
from sklearn.neighbors import KNeighborsClassifier

data = ___.array([[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]])

# Create the model
model = KNeighborsClassifier()

# Train the model
model.fit(data[:, 0].reshape(-1, 1), data[:, 1].reshape(-1, 1))

# Output the result
print(model.predict([[2]])) # [[3]]","data = [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]",np,1,20
2835,Operator,"Using the given functions, write a Python program that takes an n-dimensional vector vector as an argument and returns its norm.","def vector_norm(vector):
    return vector_length(vector)

vector = [1, 2, 3]
norm = ___(vector)
print(norm)","def vector_length(vector): 
    return math.sqrt(sum(c * c for c in vector))",vector_norm,1,20
2891,Operator,"Using a built-in sorting algorithm, write a Python program to sort a given list of integers.","def sort_list(arr):
    return sorted(arr)

my_list = [3, 4, 6, 1, 9, 5, 2]
sorted_list = ___(my_list)
print(sorted_list)","[3, 4, 6, 1, 9, 5, 2]",sort_list,1,20
2942,Operator,Generate a json response from a python method that takes two parameters and returns a dictionary of key-value mappings.,"def generate_response(param1, param2):
    # dictionary of key-value mappings
    key_value_mappings = {
        param1: param2
    }

    # create json response
    json_response = ___.dumps(key_value_mappings)

    return json_response","param1 = 'key1'
param2 = 'value1'",json,1,20
2947,Operator,Write a Python program for searching a 2-dimensional array for a target value.,"def search(arr, target):
 for row in arr:
  for element in row:
   if element == ___:
    return True
 return False

result = search(arr, target)
print(result) # True","arr = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
target = 8",target,1,20
2987,Operator,Create a python function that reads comma-separated values to generate a dataframe.,"def csv_to_df(csv):
    # Create an empty list
    df = []

    # Add each row as a list
    lines = ___.split(""\n"")
    for line in lines:
        df.append(line.split("",""))

    # Convert list into a DataFrame
    import pandas as pd
    df = pd.DataFrame(df[1:], columns=df[0])
    return df","Name, Age, City
Jane, 36, London
John, 24, Paris",csv,1,20
2997,Operator,Write a Python program to detect out-of-range values in a given column of a data set.,"for row in dataset.values():
 salary = ___['Salary']
 if salary < 40000 or salary > 100000:
 print(""Out-of-range value: {}"".format(salary))","column = ""Salary""
dataset = {
 ""John"": {""Salary"": 75000, ""Age"": 30},
 ""Sam"": {""Salary"": 90000, ""Age"": 45},
 ""Jill"": {""Salary"": 120000, ""Age"": 25},
 ""Thomas"": {""Salary"": 80000, ""Age"": 40}
}",row,1,20
3000,Operator,Implement a K-Means clustering algorithm in Python to cluster the given set of points into three clusters.,"import numpy as np 
from sklearn.cluster import KMeans 

dataset = [[2, 4], [5, 8], [3, 7], [9, 2], [7, 1]]

X = ___.array(dataset) 

kmeans = KMeans(n_clusters=3, random_state=0).fit(X)

labels = kmeans.labels_

for i in range(len(X)):
 print(""datapoint:"", X[i], ""belongs to cluster"", labels[i])","dataset = [[2, 4], [5, 8], [3, 7], [9, 2], [7, 1]]",np,1,20
3069,Operator,"Given a json-formatted string, create a python program to parse it into a dict.","import json

data = '{""name"": ""John"",""age"": 30,""address"": {""city"": ""New York"",""state"": ""NY""}}'

data_dict = ___.loads(data)","data = '{""name"": ""John"",""age"": 30,""address"": {""city"": ""New York"",""state"": ""NY""}}'",json,1,20
3082,Operator,Rewrite the following JavaScript string-manipulation function in Python.,"def fix_string(s): 
    s = ___.replace("" "", """") 
    s = s.lower() 
    s = """".join(reversed(s)) 
    return s","function fix_string(s) {
  s = s.replace(/\s/g, '');
  s = s.toLowerCase();
  s = s.split('').reverse().join('');
  return s;
}",s,1,20
3174,Operator,Create a function in Python that will convert a given string of text into its equivalent URL-safe slug format.,"def url_slug(text):
 '''Takes text and converts it to url-safe slug format.
 
 Args:
 text (str): Text to be converted to slug
 
 Returns:
 str: slugified text
 '''
 
 text = ___.lower()
 text = re.sub(r'\s+', '-', text)
 text = re.sub(r'[^\w-]', '', text)
 return text",This is a sample string,text,1,20
